"Emisión: 31/10/12 12:49:01
Los mas Vendidos Cant.
Año : '2012' , Mes : 'OCT' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"SER JUGO NARANJA X 12.8G",87.59052,54,27.65052,381
"VIRULANA ESP LISA X",169.7,54,73.34,381
"TANG JUGO ANANA X 25 G",98.16,54,29.37,381
"PRITTY LIMON X 2250 CC",541.55,54,228.89,381
"PALADINI PICADA ESPECIAL X KG",1740.39521,53.96499,984.88535,386
"ACTIVIA BEBIBLE MANZA CIRUELA X 200",366.46365,53,85.59365,387
"QUILMES BOCA ANCHA X 500 CC",529.47,53,148.89,387
"POLVORITA CHOCOLATE X 80 G",90.77,53,28.76,387
"PLUSBELLE AC CREME X 1000",591.50071,53,180.75071,387
"KNORR SOPA VERD Y CARNE + FIDEOS",232.92,53,74.21,387
"JUGO P.BC NARANJA DULCE 9.5G",79.29856,53,27.88856,387
"FARGO GALLETAS AGUA LIGHT X 185 G",237.67,53,62.48,387
"VASO OFERTA",274.26987,52.99997,125.33994,394
"SER YOGUR BEBIBLE DURAZNO CALCIO X 190 G",360.6002,52.00002,74.52004,395
"CEPITA NARANJA X 1 L",265.88999,52,75.21999,396
"PLATO VIDRIO HONDO/PLAYO",264.44,52,137.26,396
"ILOLAY YOGUR ENTERO FRUT.FIRME X 200 G",143.24,52,41.84,396
"YOGUR YOGS FIRME FRUT.125G 2U",300.92,52,63.02,396
"GRANIX TRIGALITAS CEREAL X 185 G",220.49,52,62.93,396
"FANACOA MAY X 237G",155.77476,51,41.02475,401
"KNORR SOPA CASERA DE VER C/ARROZ X 82G",220.0608,51,67.3308,401
"VILLA DEL SUR LEVITE NARANJA X 1500 CC",410.24821,51,119.54821,401
"JUGO CEPITA MULTIFRUTA 200ML.",101.29,51,33.46,401
"FAROLITO VELASX120G",166.67,51,57.53,401
"PERIQUITA YERBA MATE X 500 G",460.45056,50.00004,136.40035,406
"SER YOGUR FIRME VAINILLA X 195 G",252.70007,50.00001,60.42001,407
"BAGGIO DURAZNO X 200 CC NUEVO",121.93242,50,38.29242,408
"VIVERE DIA A DIA X 900",303.5712,50,122.0712,408
"SERENITO COMUN VAINILLA X 130 G",255.23,50,68.73,408
"LA TRANQUERA YERBA MATE X 50 SAQ",502.78517,50,176.04517,408
"MOGUL OSITO X 30 G",100.28,50,35.28,408
"BAGLEY SURTIDO X 400",404.49799,50,91.49799,408
"FUYI ESPIRAL X 4 X 50G",90.14814,50,25.14814,408
"BOOG MANO RINDE 2 LT",73.22007,49.00005,22.26002,415
"COLGATE 70+20",300.00691,49.00002,120.66686,416
"HELLMANNS MAYONESA LIGHT X 250 G",277.57687,49.00001,107.10687,417
"BUTTER TOFFES CAJA REGALO",341.01,49,147.95,418
"DOBLE COLA X 2250 CC",426.72,49,144.97,418
"KNORR SOPA CAS POLLO Y CAB ANGE + FID",216.85,49,70.34,418
"MAROLIO PALILLERO X 100 UNDS",148.65369,49,58.37369,418
"PLUSBELLE AC BAMBU X 1000",548.19,49,168.44,418
"RAID MMM X 400 + 40 CC",805.55804,49,288.81804,418
"SANIDAD PH BLANCO X 4 X 30 M",357.34252,49,112.83252,418
"SER COLCHON DE FRUTAS Y CEREAL",369.51,49,93.56,418
"PATY HAMBURGUESAS EXPREESS X 276 G",785.75,49,249.69,418
"GRANJA DEL SOL MILANESA DE SOJA  T.C  33",1016.30833,49,362.15834,418
"GILLETTE PRESTOBARBA 3 X UNID",442.34116,49,141.17116,418
"RAID MMM SIN OLOR X 360 CC",1007.65964,48.99998,341.74988,429
"M&K YERBA X 500G",388.27093,48.00002,100.27083,430
"ROSAURA PAN LACTAL 15 FETAS",317.30249,48.00001,317.30249,431
"FARGO RODAJA FINA X 440 G",653.54823,48,177.38823,432
"LA ESPAÐOLA MAIZ BLANCO X 500 G",150.91,48,42.6,432
"YOGS SANCOR FRUTILLA LICUADO X 190 G",282.46828,48,61.65826,432
"TATIN ALFAJOR ARCOR X 33 G",60.34,48,20.06,432
"SER JUGO ANANA TROPICAL 7.5 G",78.03092,48,24.75092,432
"SANCOR FLAN CASERO LIGHT 2 X 120 G",452.91187,48,105.79187,432
"PAN HAMB.FARGO C/S.216G 4UN",371.13,48,95.25,432
"MAROLIO PURE DE TOMATES X 520 G",185.1,48,57.42,432
"LA SERENISIMA LECHE DESC  L.V X 1",431.54092,48,119.78092,432
"LA SERENISIMA LEC HIERRO DES 1",330.32233,48,66.30233,432
"LA SERENISIMA DESLAC. DESC X 500 CC",302.37,48,72.93,432
"HELLMANNS KETCHUP X 60 G",120.15189,48,47.84189,432
"FARGO TAPAS P/PASCUALINA LIGHT  X 390 G",476.69501,47.99999,142.13508,444
"LAYS X 150 G",818.04021,47.00003,152.99003,445
"7UP X 2250 CC",675.02271,47,165.54271,446
"COLGATE DENTIFRICO HERBAL X 90 G",236.63,47,82,446
"JUGO P.INCA DURAZNO 30 GRS.",57.68132,47,16.79132,446
"MIRINDA X 2250 CC MANZANA",676.99403,47,167.51403,446
"RAID ESPIRAL 4 X 50G",92.23877,47,33.95877,446
"YOGS FORTIFICADO VAINILLA X 1 L",423.86426,47,88.20426,446
"VIENISSIMA LIGHT X 6 UNDS",465.61006,47,140.37002,446
"PLUSBELLE JABON ENERGIZA 140G",227.70058,47,74.48058,446
"PALADINI SALCHICHAS X 6 UNID",434.27439,47,151.80439,446
"GODET GELATINA FRUTILLA X 100 G",207.03,47,61.8,446
"DUAREN ACEITUNAS X 220 G",122.24033,46.99999,32.00033,456
"CLIGHT MANDARINA X 10 G",85.6453,46.00002,29.18528,457
"TARAGUI YER.MAT.C/P.(4FLEX)500",580.08414,46.00001,188.16415,458
"ACTIVIA CIRUELA X 750 CM",477.24,46,100.35,459
"BAGGIO PRONTO MANZANA JUNIOR X 125 ML NU",69.55892,46,20.33892,459
"ELITE PAÐUELOS DESC X 6 X 10",345.32,46,120.59,459
"JUGO P.ARCOR NARANJA DUR.25G",73.71215,46,22.65215,459
"LA SERENISIMA LECHE HIERRO 1L",307.12,46,62.82,459
"PLUSBELLE JABON PURICA 140G",221.47559,46,83.93559,459
"SER YOGUR BEBIBLE FRUTILLA CALCIO X 190",320.69951,46,66.65951,459
"SPEED ENERGY DRINK X 250 CC",370.9,46,117.9,459
"SELTON MMM X 360 ROJO",467.70151,46,211.02151,459
"MANTECA LA SERENISIMA C/V",434.35687,46,109.57687,459
"GATORADE MANZANA X 500 CC",476.22,46,126.62,459
"CRIOLLITAS ORIGINAL X 300 G",272.34,46,74.38,459
"KINDER JOY X 20 G",343.8,45.00001,106.65,471
"CALIPSO PROT.DIA. S/D 20UN.",220.7,45,74.65,472
"CLIGHT POMELO ROSADO X 11 G",91.23,45,27.78,472
"MAROLIO PULPA DE TOMATE X 520 G",162.93,45,54.03,472
"KEKSY FLAN VAINILLA X 60G",88.87562,45,29.92564,472
"JUGO P.BC NARANJA 9.7G",67.67638,45,24.02638,472
"GIGANTE JABON EN PAN X 200G",160.56,45,59.5,472
"FANTA X 2250 CC NARANJA",604.79086,45,135.89086,472
"ARO JABON BLANCO X 200G",154.00647,44.99999,57.70647,479
"SPRITE X 2250 CC",601.61563,44.99998,132.71581,480
"YOGURISIMO GO FRUTILLA X 190 CC",261.37985,44.99997,56.22997,481
"VIDACOL VAINILLA X 4 X 80 G",660.62569,44.00003,162.35546,482
"AZUCAR SURCO X 1KG",261.58718,44,95.59719,483
"SANCOR ENTERA X 1 L (LARGA VIDA)",359.9,44,72.09,483
"COLGATE DENTIFRICO SABOR ORIG X 70 G",212.05301,44,75.48301,483
"COLGATE DENTIFRICO SABOR ORIG. X 90 G",315.4,44,116.96,483
"MR.TRAPO TRAPO DE PISO",313.80319,44,169.04319,483
"RIERA TOSTADAS LIGHT X 200 G",371.72,44,102,483
"LA MORENITA CAFE  X 20 UNDS",565.55,44,179.53,483
"BORITA SUAVEIZANTE SOL X 900 CC",311.83883,44,125.01883,483
"ARCOR DULCE BATATA C/CHOC X 1 KG",614.65461,43.46,286.96621,491
"ACTIVIA BEBIBLE PERA KIWI X 200 G",296.49,43,69.45,492
"GRANIX FIESTA SURTIDAS X 350 G",343.57,43,113.52,492
"MAROLIO GALLETAS SURT X 360G",218.71,43,63.35,492
"COCA COLA X 1500 CC ZERO",558.41,43,132.56,492
"SAL FINA DOS ANCLAS ESTUCHE X 500 G",106.58771,43,25.31771,492
"YOGS CON TROZOS DE FRUTILLA X 180 G",280.3669,43,69.5369,492
"SUSSEX ULTRA X 70U",192.85179,43,64.75179,492
"EXPRESS LIGHT X 330 G",392.83485,42.99999,105.16484,499
"7UP X 3000 CM3",727.33866,42,167.47866,500
"ARCOR PULPA DE TOMATE X 520G",147.97199,42,43.81199,500
"AYBAL SODA X 2000 CC",239.34,42,63.06,500
"CERROS TUCUMANOS DURAZNO X 1 L",200.94,42,53.94,500
"SER YOGUR FIRME FRUTILLA X 200 CC",209.58,42,47.88,500
"SANCOR BEBE MANZANA BANANA X 2",274.04776,42,59.03776,500
"PLUSBELLE JABON T. RELAJ.140G",203.30584,42,76.88584,500
"KNORR SOPA CREMA DE CHOCLO X 69 G",192.36,42,59.64,500
"GATORADE MANZANA X 1.25 L",889.89603,42,251.49603,500
"DELICIA MARGARINA MOLINOS X 200 G",213.78,42,64.68,500
"BON O BON BOMBON SUAVE  X 17 G",63.21,42,27.09,500
"ALA C/VIVERE EN PAN X 200 ML",235.30705,42,80.40705,500
"LA SERENISIMA POR SALUT LIGHT X 200 G",411.9399,41.99999,95.61998,512
"ARO PAPEL HIG H.SIMPLE X 4",299.39992,41.00001,106.52991,513
"CRUZ DE MALTA MATE COCIDO X 50",503.19455,41.00001,146.08454,513
"3D X 38 G",246.48841,41,41.48841,515
"ACE JAB EN POL REGULAR X 400 G",265.13244,41,71.06244,515
"TRES PATITOS FOSFOROS X 222 UNID",102.09,41,24.19,515
"ROSAURA MAIZENITAS",51.93,41,51.51999,515
"M&K PURE TOMATE 520 GR.",141.29226,41,51.50226,515
"LADYSOFT TOALL.FEM.C/G C/A 8U",115.99504,41,41.37504,515
"GREEN HILLS TE CLASIC X 25 UNID",227.4,41,69.14,515
"FIDEO RIVOLI CODO X 500G",151.19,41,46.23,515
"ALICANTE CALDO DE PUERRO X 10",51.59676,41,21.23676,515
"AMANDA MATE COCIDO X 50 SAQ",533.92364,40,166.32364,524
"CACHAMATE YERBA ROSA X 500 G",495.44617,40,162.34617,524
"BOLSA 6.50 PESOS",261.27483,40,95.27483,524
"GELATINA SHIMY NESTLE MANZANA X 110 G",146.24139,40,33.08139,524
"HUGGIES CLASSIC XG X 8",498.48002,40,140.08002,524
"TANG JUGO NARANJA DURAZNO X 25 G",71.78977,40,22.74977,524
"SEDAL ACOND.CLIMA RESIST X 350 ML",612.74545,40,269.14545,524
"SEDAL AC BALANCE NUEVO X 200",408,40,144.46,524
"SANCOR FLAN CASERO 2 X 120 G DULCE DE LE",380.17,40,92.41,524
"SANCOR BEBE 3  X 250 CM3 NUEVA",216.8,40,37.6,524
"PLUSBELLE JABON CERAMIDA 140G",195.25104,40,75.65104,524
"MAROLIO VINAGRE DE ALCOHOL X 500 CC",160.4,40,54,524
"MANA RELLENAS FRUTILLA X 165 G",221.91,40,60.71,524
"DRIVE FLORES DE PER REG 400G",174.6,40,53,524
"ODOL NUEVO X 180G",321.372,39.99999,124.152,538
"BOLSA 5.00 PESOS",195.00007,39.00001,62.40002,539
"SUAVE ACON MIEL Y ALME X 930",435.66105,39.00001,175.921,539
"ACTIMEL MULTIFRUTA X 100 CC",100.2,39,24.54,541
"HUGGIES CLASSIC XXG X 8",489.428,39,139.988,541
"ILOLAY DULCE DE LECHE CLA X 400 G",352.26,39,89.39999,541
"NORTE BLANCA X 970",374.1,39,83.94,541
"VILLA RICA TE X 25 SAQ",107.95,39,40.87,541
"SER BARRA FRUTILLA X 23 G",153.75,39,55.08,541
"LA SERENISIMA CASANCREM LIGHT X 320 G",557.84035,39,149.47035,541
"LA SERENISIMA CREMA DOBLE X 200 G",283.12925,39,67.39925,541
"JABON T.REXONA NUTRITIVA 125G",167.19628,39,51.75628,541
"ILOLAY CHOCOLATADA X 250 CM",166.54,39,55.39,541
"GIGANTE LAVAVAJILLA GLICERINA X 750 CC",197.34366,39,57.72366,541
"AQUARIUS NARANJA 1500 CC",259.32569,39,77.19569,541
"FUYI ESPIRAL COUNTRY FRESH X 12",297.11012,38.00002,99.89004,553
"SWIFT GRASA X 500 G",405.13295,38.00001,177.51296,554
"CHOCO CHIPS X 135 G",160.4,38,49.06,555
"ZORRO BIO CRIST MATIC X 400",162.68356,38,36.52356,555
"YOGS FORTIFICADO FRUTILLA X 1 L",346.69,38,71.27,555
"UPA LA LA TOALL.HUM. 100 UN.",406.86,38,140.48,555
"SANCOR MANTECA X200G VIT DYE",388.27,38,91.99,555
"LUX JABON T. ENCANTAME 125G.",183.35525,38,69.73525,555
"HIGENOL PAPEL H.RINDE LISO X 4",308.02,38,103.96,555
"FIDEO RIVOLI TALLARIN ROSCA X 500G",180.2,38,48.34,555
"ELITE PAÑUELOS DESCX 10 UNID",76,38,47.5,555
"SANCOR MANTECA CLASICA X 100 G",254.71804,37.99997,74.01816,564
"YOGS LIGHT FRUTILLA X  900 G",358.32,37.00001,78.41,565
"AGUILA MINI TORTA COCO X 73 G",169.02,37,55.8,566
"HOJALMAR SNACK MATERO AZUC X 180 G",131.08999,37,41.91999,566
"JUGO P.ARCOR ANANA 25G.",57.05,37,19.5,566
"LA SERENISIMA LECHE P/DESC BOT L.V X 1L",357.88,37,78.16,566
"YESI COPA PLASTICO POSTRE",161.07,37,71.53,566
"VILLA DEL SUR LEVITE PERA  X 2.25 L",391.07,37,115.79,566
"VILLA DEL SUR LEVITE MANZA X 1500 CC",296.75,37,85.85,566
"UNION MATE COCIDO SUAVE X 25",204.04,37,58.69,566
"SER BARRA DURAZNO X 23 G",144.19344,37,50.58344,566
"SEDAL SH CERAMIDAS NUEVO X 200",374.60044,37,130.03044,566
"POZO MADALENAS X 250 G",261.57,37,67.17,566
"POLVORITA VAINILLA LIA X 80 G",62.77,37,19.36,566
"MANTECOL X 110 G",410.08,37,154.04,566
"YOGS YOGUR ENTERO VAINILLA X 2 UNID",186.03,37,36.55,566
"LA VIRGINIA BOLDO X 25 SAQ",169.09554,37,55.87553,566
"KNORR SOPA CAS GALLINA + FIDEOS X 92.5",160.79,37,50.16,566
"HOJALMAR TRADICIONAL 150 GRS",136.52214,37,38.84214,566
"FARGO RAVIOLES RICOTA X 500 G",393.7,37,109.91,566
"FANTA X 500 CC ZERO",185.33,37,31.41,566
"CITRIC NARANJA X 500 CC",256.03,37,71.34,566
"FRAU VINAGRE DE ALCOHOL 950 CC",149.80442,36.99999,42.87442,586
"ARCOR DULCE BATATA  X 1 KG",511.1042,36.415,236.5351,587
"ALA PLUS LAVAVAJILLA C / GLICERINA X 750",238.99796,36.00002,65.83787,588
"GALL.OREO C/CHOCO/RELLE 111G",227.02481,36.00001,75.10482,589
"PAN P.PANCHOS FARGO 216G",278.20191,36.00001,74.08182,589
"CBSE YERBA X 250 G",306.60845,36,90.96845,591
"GATORADE NARANJA X 473 ML",304.17,36,82.83,591
"JABON T.LUX SORPRENDEME 125G.",174.6,36,66.96,591
"KINDER SORPRESA 20G",270.68,36,96.44,591
"SEDAL ACON RECONST X 300",460.14,36,153.41,591
"YOGURISIMO GO VAINILLA X 190 CC",212.37732,36,46.34732,591
"SUSSEX PREMIUM X 3",487.0244,36,164.1044,591
"SPRITE X 1500 CC",444.39,36,105.32,591
"SERENITO COMBINADO X 130 G (VAINILLA DCE",205.42,36,67.11,591
"SERENITO CHOCO BOMBAS X 118G",273.15,36,74.61,591
"SEDAL ACOND BALANC X 300",457.68959,36,150.64959,591
"PEPAS MAROLIO 200G.",144.76,36,40.36,591
"MOGUL COCODRILO X 30 G",73.07753,36,26.27753,591
"JUGO P.BC MANGO NARANJA 7.9G",54.06,36,19.14,591
"COCA COLA X 500 CC ZERO",179.64,36,29.88,591
"DANI FIESTA MAY X 250 CM3",136.44002,36,35.28002,591
"GRANBY MATIC X 400G",225.27661,35.00002,66.72652,607
"CHEETOS X 38 G",211.34305,35.00001,36.34305,608
"ALA PLUS LAVAVAJILLA C / ALOE X 750",229.16441,35,60.81441,609
"VIRULANA INOXY X 16 G",103.89051,35,46.01051,609
"SER YOGUR FORTIFICADO X 1 L VAINILLA",332.43,35,74.13,609
"QUESO UNT.LA SERE.CREMON 200G",347.78,35,83.18,609
"QUERICO FIDEO DOBLADITO VERDE X 500 G",235.34,35,69.09001,609
"PAMPERS BABYSAN X 10 UNID (M)",429.3,35,124.82,609
"NUTRIQUES QUESO RALLADO X 40G",70.17829,35,15.92829,609
"MAURI SALVADO X 400 G",314.21536,35,85.70536,609
"KNORR COCINA PRACT POLLO 25G",349.25594,35,111.60594,609
"ILOLAY MANTECA X 100 G",189.76,35,53.61,609
"ILOLAY DULCE DE LECHE X 200 G",179.05269,35,48.50269,609
"HOJALMAR LA LARGUITA 150 GRS",130.612,35,38.212,609
"GODET GELATINA FRAMUESA X 100 G",152.98856,35,44.83856,609
"EFFICIENT REXONA X 100 G",348.45507,35,119.90507,609
"DULCYPAS PEPAS 200G",104.64999,35,27.99999,609
"DONCELLA ALGODON X 75 GRS",168.61,35,53.04,609
"DON YEYO PASCUALINA HOJALDRE X 400 G",342.35,35,103.65,609
"YOGS SANCOR BANANA LICUADO X 190 G",205.6056,35,44.7756,609
"M&K DURAZNOS LIGHT X 820G",282.05,35,89.2,609
"LUCCETTI CALDOS GALLINA X 12 UNDS",246.78,35,65.48,609
"LA TRANQUERA YERBA X 500 G",367.15,35,100.73,609
"CRIOLLITAS OFERTA X 5",352.45,35,88.2,609
"CRUZ DE MALTA MATE COCIDO X 25 X 3G",224.55,34.99999,63.55,631
"CREMA DE L.MANFREY PAST.350ML",345.73012,34.00001,97.13003,632
"ALA CAMELLITO ROPA FINA REG. X 120 ML",100.62783,34,35.00782,633
"CRIOLLITAS TOSTADAS SALV. 200G",213.84883,34,61.52883,633
"CRIOLLITAS TOSTADAS CLAS. 200G",215.62,34,63.3,633
"BOOG ANANA 30 G",51.29,34,15.93,633
"DANETTE CHOCOLATE X 2 X 100 G",273.42,34,77.24,633
"QUERICO FIDEO DOBLADITO N¬ 3 X 500 G",222.16898,34,59.82898,633
"POSTRE MANFREY DDL 120G.",91.22,34,24.92,633
"PORTEÐITAS X 130 G",142.46,34,41.14,633
"PEPITOS GALLETAS X 118G",180.6,34,48.34,633
"MOGUL VIBORITAS 30 G",68,34,19.72,633
"MOGUL CEREBRITO X 30 G",67.95753,34,23.75753,633
"MAROLIO PICADILLO X 90 G",94.35991,34,31.73988,633
"FARGO FIDEO CINTA MEDIANA X 500G",282.11,34,95.34,633
"ECHO EN EL BALDE X 450 CC",192.4,34,62.52,633
"ZORRO JABON PAN 150G.2UN",186.51905,34,54.93905,633
"TOPLINE NEXT MINT",70.52,34,38.9,633
"SER JUGO POM.RDO.9.5G",54.06,34,16.32,633
"SER BARRA CEREAL PATAGONIA 23",132.45624,34,46.43624,633
"LA SERENISIMA LECHE ENTERA L.V. X 1 L",272.57,33.00001,57.08,651
"M&KA TUN DESM.AC. 170G",177.80996,33.00001,61.64993,651
"AMANDA MATE COC X 25 SAQ",184.74,33,64.95,653
"BORITA SUAV BEBE X 900 CC",232.65,33,90.02,653
"COCA COLA X 1500 CC DESC",387.75,33,85.14,653
"BIANCHI BORGO±A X 750 CC",617.17,33,169.47,653
"ILOLAY CREMA DE LECHE X 350 G",424.27,33,124.63,653
"LA SERENISIMA GRIEGO FRUTILLA X 100",175.87989,33,41.15989,653
"VILLAVICENCIO AGUA MINERAL X 1.500 CM3",178.62,33,52.23,653
"TIA MARUCA MARUQUITAS FRUTILLA X 200 G",243.33,33,68.43,653
"SUSARELLI AZUL X 1 KG",432.75637,33,126.18637,653
"SER YOGUR COLCHON DE FRUT,ARAND,GR X 190",262.85153,33,65.94153,653
"SEDAL ACOND CERAM X 300 ML",424.42,33,141.83,653
"RIERA TOSTADAS C/GLUTEN DULCES X 200 G",262.75225,33,70.03225,653
"ODOLITO X 50G",237.80511,33,89.12511,653
"MOGUL TIBURONCITOS X 30 G",66.56,33,23.66,653
"INCA JUGO CITRUS LIGHT 10 G",46.63,33,22.87,653
"YOGURT SANCOR TROZO X 180GRS",211.28,33,51.01,653
"HUGGIES CLASSIC G X 9",409.01,33,113.33,653
"EL TUCUMANO TOMATE TRITURADO X 950 G",233.43862,33,75.03862,653
"DANONINO BEBIBLE VAINILLA X 200 G",204.56,33,49.46,653
"BAGLEY SALVADO FITOESTERO 185G",185.19135,33,53.85135,653
"COMBO FIDEOS 2ªUNIDAD MITAD DE PRECIO",460.22041,32.99999,460.22041,673
"MAGISTRAL LIMON X 300",339.66,32.00001,136.05999,674
"YOGUR ACTIVIA FR/MANZ.1.1KG.",496.42,32.00001,109.77,674
"ATUN M&K DESM 170g",176.23,32,74.81,676
"BOLSA 4.00 PESOS",129.12,32,69.92,676
"LA SERENISIMA DULCE DE LECHE COLONIAL X",292.38,32,76.78,676
"JUGO P.INCA LIMON 30G",39.5,32,11.43,676
"JUGO P.BC POMELO RASADO 10.3G",48.93638,32,17.89638,676
"JUGO P.BC LIMONADA 9.3G",48.72638,32,16.08638,676
"JABON P.ALA MATIC MULTIA.800G",413.44,32,149.04,676
"ILOLAY YOGUR FRUTILLA-KIWI BEBIBLE",204.99,32,41.06,676
"ILOLAY YOGUR DESC FRUT.FIRME X 200 G",88.45456,32,22.53456,676
"ILOLAY POSTRE C/CRISPINES X 110 G",187.63494,32,50.67494,676
"YOGUR ACTIVIA FRUTILLA 500G",438.44,32,91.79,676
"YOGS SANCOR 2 X 125 G VAINILLA",180.98,32,36.32,676
"YOGS LICUADO DURAZNO X 190 G",195.04771,32,46.99771,676
"TORO CAJA TINTO X 1 L",320.96999,32,96.96999,676
"TERMIDOR CAJA TINTO X 1 L",281.30003,32,101.46001,676
"SUSARELLI ROJO X 500 G",187.39,32,69.31,676
"SEDAL SHAMP SOS CREMA X 300ML",407.72241,32,142.13241,676
"ROMYL TRAPO DE PISO",218.16,32,102.32,676
"ROCKLETS X 20 G",64.56,32,23.6,676
"OPERA OBLEAS X 92 G",160.18944,32,45.94944,676
"FIDEO RIVOLI MOÐO CHICO X 500G",152.03386,32,40.99386,676
"DANONINO BEBIBLE FRUTILLA PACK X 4",431.45,32,104.3,676
"VIDACOL FRUTILLA 80 G",105.28,32,22.08,676
"CEREAL MIX GALLETA C/ AVENA Y PASAS 230",221.77,32,64.33,676
"MANFREY DULCE DE LECHE X KG",577.55016,31.77001,178.16276,700
"LARIO JAMON COCIDO X K",2250.68968,31.145,985.34873,701
"ADES MELON 1LT.",193.85,31,21.8,702
"BIO L.CASEI MULTIFRU X 95G",100.75,31,23.25,702
"BELAROM MIX PASTILLAS X 60",110.39,31,42.67,702
"FIDEO RIVOLI TIRABUZON X 500G",113.79,31,34.43,702
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 250 G",244.26,31,67.25,702
"PLUSBELLE JABON REFRESC140G",148.73363,31,56.04363,702
"LA SERENISIMA JUNIOR FRUTILLA X 1 L",268.89,31,65.91,702
"LA SERENISIMA DESLACTO ULTRA X 500 CC",189.83,31,45.25,702
"LA SERENISIMA CREMA X 360 CC",380.03346,31,87.75346,702
"JABON P.ALA MULTI.C/VIV.V.400G",201.54949,31,62.30949,702
"ILOLAY YOGUR DESC VAIN.FIRME X 200 G",85.25,31,21.39,702
"ILOLAY YOGUR DEC.VITA FRUTILLA X 1 L",222.89,31,54.56,702
"ILOLAY VAINILLA VITA DESC. X 1 L",223.9,31,55.57,702
"ILOLAY CHOCOLATADA X 1 L",271.83,31,75.91,702
"GRANIX SEMOLADAS X 450 G",301.21,31,82.66,702
"GRANIX SANDWICH  X 600 G",353.09188,31,120.64187,702
"GRANIX GALLETA CEREAL X 185 G",129.89,31,35.96,702
"FUYI TABLETAS X 12",334.39,31,114.29,702
"SER YOGUR BEBIBLE FRUTILLA X 190 G",188.30241,31,45.57241,702
"SALSATI PULPA TOM.C/AZUC.520G",111.13,31,33.94,702
"KEKSY GELATINA FRAMBUESA X 120 G",84.94,31,29.76,702
"DANONINO BEBIBLE FRU X 100 G.",99.34,31,26.49,702
"ALICANTE CALDO P/SABOR VERDURA SIN SAL",39.26,31,21.59,702
"ALICANTE OREGANO X 50 G",280.44484,31,125.98484,702
"BAHIA SARDINA AC/AGUA X 125G",254.41,31,86.7,702
"FATY GRASA X 500 G",284.44265,30.99999,82.63265,727
"LA PAULINA QUESO BARRA X  K",1477.4431,30.19001,614.00881,728
"HELLMANNS KETCHUP X 250G",212.82,30.00001,67.62001,729
"3MAR HELADO 3LT.",858.8,30,213.8,730
"ALA REGULAR 800G",396.98848,30,127.58848,730
"VILLA DEL SUR LEVITE NARANJA  X 2.250 CC",317.1982,30,93.9982,730
"SER YOGUR COLCHON DURAZNO X 180 G",240.94,30,62.4,730
"SER CRACKER X 360 G",313.98314,30,92.58314,730
"SANCOR CREMA DE LECHE X 200 G",222.73,30,47.53,730
"SALSATI SALSA PIZZA DP X 340 G",176.11593,30,48.01593,730
"RIERA TOSTADAS CLASICAS DULCES  200 G",207.82,30,56.48,730
"RECETAS DE LA ABUELA BIZC AZUC X 200 G",126.29,30,36.29,730
"PURISIMA ENTERA EN POLVO X 800 G",996.22,30,374.57,730
"PREFERIDO REBOZADOR X 500 G",224.14,30,77.65,730
"LUX JABON DEGUSTAME 125G.",146.2775,30,56.5775,730
"LIFEBUOY JABON NATURE X 125G",179.9111,30,63.51109,730
"LEGITIMO ACEITE X 3 L",894.06,30,449.16,730
"LA SERENISIMA LECHE DESLA EN P X 400G",1015.45,30,237.89,730
"ILOLAY POSTRE C/CONFITES X 110 G",176.43313,30,48.03313,730
"ILOLAY FRUT BEBIBLE X 190 G",114.0903,30,29.7903,730
"GRANIX SIN SAL X 185 G",134.7,30,34.8,730
"FIDEO SPAGHETTI CHICAGO",87.6,30,27,730
"FAVORITA FIDEO MOÐOS X 500 G",166.62,30,48.72,730
"FANTA X 1500 CC ZERO",374.25323,30,86.75323,730
"DOS CORAZONES BOCADITO FELFORT X 26 G",120,30,41.7,730
"DEL VALLE ANANA FIZZ X 710 CC",280.31,30,27.77,730
"DANICA MOSTAZA X 60 G",57.21626,30,20.71626,730
"CEREAL MIX GALLETA C/ SEMILLASY CHIPS 23",209.91,30,62.31,730
"CAMPANITA CLASICO X 4 X 30",167.78,30,49.28,730
"CACAO NESQUIK 360G",389.64298,30,136.60298,730
"ILOLAY QUESO CREMOSO X 1 K",1211.49691,29.79999,366.07127,757
"FIDEO RIVOLI FUSILLIS X 500G",108.11003,29.00001,33.87001,758
"AYUDIN LAV.MAXIMA PRE 250ML.",65.58,29,21.91,759
"ECO ESPONJA CON ABRASIVOS ESPECIALES",73.86837,29,31.81837,759
"ROMYL BOLSA  CONSORCIO 60 X 90",281.86,29,121.2,759
"MOGUL PIECITOS X 30 G",58,29,20.3,759
"MAROLIO VINAGRE ALC X 1000 CC",148.21,29,42.94,759
"MANA LIVIANAS COCO X 145 G",115.26773,29,32.75773,759
"MAMA COCINA PAN RALLADO X 500 G",139.55329,29,36.89329,759
"LA TUCUMANITA RAV POLLO 500G.",223.01,29,63.51,759
"JUGO P.BC PERA 7.8G",44.26,29,16.13,759
"FARGO LIVIANO X 440 G",372.92255,29,98.87255,759
"ELITE HOJA SIMPLE 6 X 30 M ALOE",334.17923,29,113.72924,759
"DONCELLA PROT.DIA. SIN DEO 20U",117.2813,29,47.1013,759
"SEDAL AC CERAMIDAS NUEVO X 200",291.79229,29,100.10229,759
