"Emisión: 31/10/12 12:45:13
Los mas Vendidos Cant.
Año : '2012' , Mes : 'SEP' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"ALICANTE CALDO P/SAB FINAS HIER X 10",78.89113,62,33.01113,371
"SANCOR FLAN X 110 G",211.51097,62,47.83097,371
"ZORRO BIO CRISTALES NUEV 800 G",597.24063,62,182.46063,371
"FICEO RIVOLI MOÐO GRANDE X 500G",300.44447,62,85.30448,371
"JUGO P.ARCOR LIMONADA 25G.",99.04865,62,35.22865,371
"KEKSY GELATINA FRAMBUESA X 120 G",177.14629,62,66.78629,371
"NORTE BLANCA X 970",624.17274,61.99998,162.89286,377
"KNORR SOPA CAS POLLO Y MUNIC + FID",266.516,61.00006,84.12588,378
"MOGUL FRUTALES TUBO",122.84004,61.00002,47.20001,379
"AQUARIUS PERA X 1500 CC",408.12321,61,103.51321,380
"AZUCARADAS COCO X 80 G",119.95415,61,38.37415,380
"CITRIC NARANJA X 1L",699.14988,61,195.77988,380
"PLUSBELLE SH CERAMIDA ACT X 1 LTS",685.58606,61,188.43606,380
"MAURI SIN SAL X 400 G",572.27608,61,175.55608,380
"BAGGIO DURAZNO X 200 CC NUEVO",135.87193,60.00002,42.87191,385
"HIGIENOL EXPORT 4 X 40",488.32505,60.00001,182.32505,386
"CHEMBRA VINO 1250 PATERO",896.01641,60,232.7164,387
"SANCOR ENTERA X 1 L (LARGA VIDA)",476.15784,60,105.95784,387
"RAID TABLETAS X 24 UNID",1003.66289,60,296.46289,387
"PEPITOS GALLETAS X 118G",306.88312,60,81.99312,387
"M&K DURAZNO X 820G",494.28736,60,159.48736,387
"JABON T.REXONA MENTA FRESH 125",248.16888,60,92.76888,387
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 500 G",658.66844,60,170.26844,387
"CUPIDO JABON TOCADOR X 3 UNDS",290.25036,59.00006,99.68036,394
"PLUSBELLE AC CEREMIDAS X 1000",670.55207,59.00002,214.48207,395
"FARGO TAPAS PARA EMPANADA HORNO X 453 G",499.37183,59.00001,144.78183,396
"KNORR SOPA CAS GALLINA + FIDEOS X 92.5",252.48661,58.00001,79.0666,397
"BLANCAFLOR LEUDANTE X 1 K",301.04126,58,91.84126,398
"CERROS TUCUMANOS DURAZNO X 1 L",279.47786,58,76.47786,398
"EL TUCUMANO TOMATE TRITURADO X 950 G",404.78828,58,127.78828,398
"PRITTY LIMON X 2250 CC",622.96789,58,209.90789,398
"DANICA DORADA X 100G",237.86692,57.99999,69.66693,402
"SOLITAS PEPAS X 1 K",814.7338,57.00001,252.4238,403
"CACHAMATE YERBA ROSA X 500 G",705.93813,57,250.50813,404
"FUYI ESPIRAL X 12 NUEVO",324.90864,57,100.89864,404
"JUGO P.BC NARANJA DULCE 9.5G",85.74266,57,30.45266,404
"GELATINA SHIMY NESTLE FRUTILLA X 110 G",207.68487,57,46.94487,404
"CLIGHT DUO MANGO-PERA X 6.5 G",102.95762,57,29.42762,404
"DELICIA MARGARINA MOLINOS X 200 G",290.13122,57,87.78121,404
"ELITE PAÑUELOS DESCX 10 UNID",114.49602,56.99996,71.74604,410
"GADDARY QUESO RALLADO X 40",108.9098,56.00003,47.3098,411
"GODET GELATINA FRAMUESA X 100 G",235.13055,56.00001,66.29056,412
"CREMA DE L.MANFREY PAST.350ML",554.55596,56,156.95596,413
"ZUCOA X 180 G",202.7952,56,63.3552,413
"MAURI FAUNA X 150 G",200.46024,56,79.50024,413
"DONNA PROTECTORES DIARIOS X 20",236.4363,56,80.7563,413
"DANETTE CREMA AMERICANA X 2",413.77217,56,114.17217,413
"ILOLAY MANTECA X 100 G",313.06186,56,95.22186,413
"KNORR SOPA CASERA DE VER C/ARROZ X 82G",242.83509,56,75.39509,413
"KEKSY GELATINA CEREZA X 120 G",159.1722,56,59.49221,413
"ILOLAY DULCE DE LECHE X 200 G",294.767,55.99999,85.88702,421
"EL CRAIKENSE QUESO CREMOSO X K",1986.21556,55.395,727.67056,422
"NATURA MAY X 125 CM3",154.01682,55.00001,55.36682,423
"YOGS FORTIFICADO VAINILLA X 1 L",494.92914,55.00001,105.52917,423
"ACTIMEL MULTIFRUTA X 100 CC",143.32631,55,36.62631,425
"YOGUR YOGS FIRME FRUT.125G 2U",310.0806,55,66.4306,425
"TANG JUGO NARANJA DULCE  X 25 G",102.46214,55,35.36214,425
"SER YOGUR CALCIO VAINILLA PACK  2 X 125",366.83003,55,-525.78997,425
"FANTA X 1500 CC ZERO",641.61,55,160.36,425
"BON O BON OBLEA NEGRA X 30 G",138.01732,55,44.51732,425
"EL BIERZO MORTADELA BOCHA X  KG",2322.00709,54.28999,970.18634,431
"YOGUR MANFREY ENT.VAINILLA X",139.29016,54.00004,44.25003,432
"DANETTE CHOCOLATE X 2 X 100 G",397.43739,54,108.53739,433
"DUAREN ACEITUNAS X 220 G",140.01115,54,36.33116,433
"GREEN HILLS TE CLASIC X 25 UNID",298.44608,54,89.98608,433
"JUGO P.ARCOR ANANA 25G.",83.50841,54,29.36841,433
"KNORR SOPA CREMA DE POLLO X 75 G",245.85329,54,75.21329,433
"YOGS CREMOSO DURAZNO  2 X 125 G",290.37123,54,62.49123,433
"PLUSBELLE SH CREME X 1 LTS",609.23985,54,190.73986,433
"MANTECA LA SERENISIMA C/V",483.78859,54,117.66859,433
"LA SERENISIMA CREMA DOBLE X 200 G",381.97203,54,94.69203,433
"HIERBITAL HIERBAS SERRANAS X 500G",725.01892,53.99999,366.45893,442
"DANONINO BEBIBLE VAINILLA X 200 G",314.66788,53,76.69788,443
"FIDEO RIVOLI CINTA ESPINACA  X 500G",253.05776,53,69.14777,443
"TORO CAJA TINTO X 1 L",522.67883,53,151.67883,443
"SANCOR CREMA DE LECHE X 200 G",394.69634,53,85.17634,443
"LA SERENISIMA GRIEGO FRUTILLA X 100",269.3272,53,65.80719,443
"GODET GELATINA FRUTILLA X 100 G",227.40462,53,67.3846,443
"KNORR SOPA CAS POLLO Y CAB ANGE + FID",232.91701,53,74.44701,443
"BIO PACK X 4 FRUTILLA",675.52987,52.99999,146.05986,450
"BOOG MANO RINDE 2 LT",81.04785,52.99999,25.92785,450
"COCA COLA X 1500 CC DESC",629.42508,52.99996,143.41543,452
"3 ARROYOS PIERNA/MUSLO POLLO X K",1133.43826,52.18999,515.21096,453
"PALADINI PICADA ESPECIAL X KG",1450.09426,52.02,721.81426,454
"YOGURISIMO CREMIX VAINILLA OFERTA X 4",509.83501,52.00003,125.86499,455
"ILOLAY DULCE DE LECHE CLA X 400 G",483.91544,52.00001,133.43544,456
"ALA CAMELLITO ROPA FINA REG. X 120 ML",152.22902,52,51.86902,457
"CHEETOS X 38 G",290.77727,52,48.62727,457
"PERIQUITA YERBA MATE X 500 G",496.87728,52,159.39728,457
"YOGURISIMO GO FRUTILLA X 190 CC",282.23424,52,60.19423,457
"RIVOLI ÐOQUIS X 500G",193.35702,52,60.23703,457
"MANFREY ENT.FRUTILLA",133.01482,52,41.49482,457
"DRIVE FLORES DE PER REG X 400G",227.26962,52,69.18962,457
"JABON T.REXONA NUTRITIVA 125G",225.19621,52,71.27621,457
"KNORR SOPA VERD Y CARNE + FIDEOS",228.13247,52,72.65247,457
"LAYS  X 85 G",603.83847,51.99999,99.98848,466
"CAREFREE PROT.DIA. LARGO 20",561.02415,51.00001,216.77404,467
"LA SERENISIMA DULCE DE LECHE COLONIAL X",475.30438,51.00001,131.6843,467
"JABON B.FEDERAL C/GLIC.2X200",360.36977,51,138.51977,469
"PLUSBELLE AC ALGAS MARINAS X 1 LTS",582.93664,51,182.58664,469
"ROCKLETS X 20 G",103.11996,51,37.83996,469
"SI DIET X 500 CC",517.97066,51,189.62066,469
"YOGURT SANCOR TROZO X 180GRS",318.04514,51,74.77514,469
"SER BARRA FRUTILLA X 23 G",198.80805,51,69.77805,469
"PLUSBELLE JABON CERAMIDA 140G",254.52844,51,102.03844,469
"LA TRANQUERA YERBA X 500 G",542.38711,51,163.6371,469
"LA SERENISIMA CREMA X 360 CC",605.53672,51,142.45672,469
"LUCCHETTI CALDOS VERDURA X 12 UNDS",361.78774,50.99999,97.60775,478
"RAID TABLETAS X 12",412.61511,50.99999,108.0051,478
"ARCOR DULCE BATATA  X 1 KG",687.63502,50.69501,322.98064,480
"HOGAREÐA SALVADO X 200 G",225.74007,50.00002,59.54002,481
"DRIVE FRES DE MAR X 400",219.50677,50.00001,67.50677,482
"PLUSBELLE AC BAMBU X 1000",574.2304,50.00001,186.7304,482
"MANA LIVIANAS VANILLAI 3 UNDS",370.80172,50.00001,93.31172,482
"LA SERENISIMA LECHE EXTRA CALC",319.38318,50.00001,66.38318,482
"CD $ 2.00",100,50,57.5,486
"MIRINDA X 2250 CC MANZANA",702.08977,50,160.08977,486
"LA TUCUMANITA PASCUALINA",421.22005,50,126.22005,486
"GIGANTE LAVAVAJILLA GLICERINA X 750 CC",256.76483,50,77.76483,486
"GRANIX SANDWICH X 24 G",49.7679,49.99999,22.7679,490
"HOJALMAR RONDA X 150 G",190.48924,49.99998,58.48925,491
"JABON T.MIX SUAVE 3X90G",410.52694,49.99998,158.52692,491
"MANTECOL X 110 G",553.64448,49.00002,214.56432,493
"PREFERIDO PAN RALLADO X 500 G",297.64429,49.00002,92.33429,493
"ARO PAPEL HIG H.SIMPLE X 4",356.33885,49,133.66885,495
"BAGLEY SALVADO X 214 G",223.14901,49,58.28901,495
"FAVORITA RAVIOLES RICOTA VERDURA X 500",536.42635,49,154.71635,495
"CITRIC NARANJA X 250 ML",144.50164,49,37.19164,495
"SUSARELLI ROJO X 500 G",285.42912,49,99.71912,495
"SALSATI PULPA TOM.C/AZUC.520G",173.12,49,51.11001,495
"PLUSBELLE SH ALGAS MARINAS X 1 LTS",551.71127,49,149.12127,495
"FIBRA ESPONJA OK X UNID",38.29967,49,16.73967,495
"GRANIX FIESTA SURTIDAS X 350 G",369.03022,49,125.64022,495
"LA SERENISIMA POR SALUT LIGHT X 200 G",451.3855,48.00001,102.90539,504
"RAID MATA MOSCAS EN AEROSOL X 360 CC",743.19363,48.00001,267.35361,504
"ACTIMEL VAINILLA X 100 G",122.44807,48,29.32807,506
"SER YOGUR FORTIFICADO FRUTILLA X 1L",403.47533,48,83.17534,506
"SERENITO COMUN VAINILLA X 130 G",223.91046,48,61.79046,506
"SEDAL AC BALANCE NUEVO X 200",490.32939,48,214.32939,506
"PLUSBELLE SH LECHE DE AL X 1 LTS",538.63219,48,161.8322,506
"LAYS AL PLATO X 34 G",244.89,48,45.69,506
"COCA COLA X 1500 CC ZERO",567.93518,48,127.77518,506
"GILLETTE PRESTOBARBA 3 X UNID",401.03888,48,123.59888,506
"DANETTE FLAN X 2 X 95 G",355.80676,48,99.00676,506
"VILLAVICENCIO AGUA MINERAL X 2000 CM3",294.37295,47.99999,82.21296,515
"CIF CREMA X 375G",279.31396,47.00002,42.45397,516
"66 SALAMIN X 1",575.76077,47,240.51077,517
"YOGS SANCOR 2 X 125 G VAINILLA",263.2828,47,55.0728,517
"M&KA TUN DESM.AC. 170G",252.53018,47,83.61018,517
"CADA DIA MOSTAZA X 60 G",71.39395,47,29.56394,517
"FAVORITA FIDEO SPAGHETTI X 500 G",222.05501,47,67.89502,517
"FANACOA MAYONESA X 500 G",262.2707,47,79.91073,517
"RANCHA TRAP.PISO 46X60 ECON.",168.3041,46.99999,65.37407,523
"ILOLAY POSTRE C/CONFITES X 110 G",261.80022,46.99998,70.51022,524
"LA LOMA CREMOSO PROMO",1385.26633,46.04998,431.21382,525
"ALICANTE CALDO PANCETA Y HIERBAS X 10 G",59.27411,46,24.77412,526
"PAN HAMB.FARGO C/S.216G 4UN",347.79255,46,91.53255,526
"SER LIMONADA POLVO X 12.8G",73.02943,46,21.96943,526
"LARIO SALCHICHAS 6 UNDS",221.2935,46,72.2535,526
"JABON T.PLUSBELLE EXFOL.150G.",224.20463,46,86.66463,526
"ECHO EN EL BALDE X 450 CC",249.95288,46,78.63288,526
"BIANCHI BORGO±A X 750 CC",839.06,46,212.08,526
"ILOLAY POSTRE C/CRISPINES X 110 G",256.13972,46,68.91971,526
"CRIOLLITAS ORIGINAL X 300 G",262.03408,46,73.17408,526
"JABON T.LUX SORPRENDEME 125G.",221.79238,45.99999,78.13237,535
"ALA C/VIVERE EN PAN X 200 ML",255.13895,45.00001,91.78896,536
"SEDAL ACOND CERAM X 300 ML",584.50385,45.00001,189.85379,536
"SANCOR MANTECA X200G VIT DYE",453.44436,45.00001,110.54426,536
"ODOLITO X 50G",322.29619,45.00001,111.69619,536
"ALICANTE PIMENTON EXTRA X 25 G",115.68687,45,53.13685,540
"AYBAL SODA X 2000 CC",224.74751,45,55.54751,540
"CERROS TUC. DULCE DE LECHE X 1 K",706.43837,45,211.43837,540
"BAHIA SARDINA AC/AGUA X 125G",368.3567,45,124.9067,540
"FIDEO RIVOLI TIRABUZON X 500G",165.77778,45,50.57778,540
"GILLETTE PRESTOBARBA ULTRAGRIP MOVIL X U",274.0477,45,121.4977,540
"SOPA KNORR CASERA C/FIDEOS 88.",196.19623,45,61.64623,540
"SER YOGUR BEBIBLE DURAZNO CALCIO X 190 G",294.26205,45,63.41205,540
"LYSOFORM AIR ORIGINAL X 360 CM3",649.53708,45,159.96712,540
"ESENCIAL LAV X 1 LTS",173.77132,45,54.07132,540
"GIGANTE JABON EN PAN X 200G",159.97019,44.99999,58.72019,550
"PATY HAMBURGUESAS EXPREESS X 276 G",730.96707,44.99999,242.84707,550
"ACTIVIA BEBIBLE MANZA CIRUELA X 200",277.88291,44,61.84291,552
"ACTIVIA CIRUELA X 750 CM",433.43225,44,89.79225,552
"DON YEYO PASCUALINA HOJALDRE X 400 G",426.00628,44,125.92628,552
"DON YEYO RAVIOLES ESPIN POLLO X 500 G",633.6076,44,183.5376,552
"YOGURISIMO GO VAINILLA X 190 CC",239.39979,44,51.51979,552
"VILLA RICA TE X 25 SAQ",123.21963,44,47.53963,552
"SER YOGUR COLCHON DE FRUT,ARAND,GR X 190",331.68203,44,87.48203,552
"PLUSBELLE JABON PURICA 140G",212.90259,44,81.34259,552
"PATY HAMBURGUESAS CLASICAS X 334 G",926.79307,44,273.39307,552
"JABON P.ALA VIVERE MATIC 400G.",275.21234,44,78.39234,552
"ILOLAY YOGUR FRUTILLA-KIWI BEBIBLE",280.66293,44,66.82293,552
"GRANIX ARITOS FRUTALES X 130 G",273.02081,44,96.86081,552
"VILLA DEL SUR LEVITE NARANJA X 1500 CC",353.19792,43.99999,39.69791,564
"FARGO GALLETA AGUA X 175 G",197.28819,43.99995,51.64841,565
"FELA FIAMBRE EMP. X KG",1703.14997,43.13999,780.38543,566
"VIDACOL VAINILLA X 4 X 80 G",545.87851,43.00002,130.87849,567
"MANTECA MANFREY CALIDAD EXTRA",415.71407,43.00001,134.06407,568
"CRIA DE COSECHAS TTO X 1250",588.24123,43,205.54123,569
"FARGO TAPAS P/PASCUALINA DE HOJ X 2",424.59,43,124.88,569
"DOS CORAZONES BOCADITO FELFORT X 26 G",172.54965,43,60.31965,569
"FIDEO RIVOLI MOSTACHO X 500G",157.46998,43,47.38998,569
"FIDEO RIVOLI PAMPERITO X 500G",157.0698,43,46.9898,569
"YOGS SANCOR C/CEREALES X 170 G",290.0382,43,64.28826,569
"SUSARELLI ROJO X 1 KG",454.81827,43,127.15827,569
"SANCOR FLAN CASERO LIGHT 2 X 120 G",404.72614,43,95.98614,569
"ROSAURA PAN RALLADO X 400G",261.78972,43,68.28972,569
"RI-K MAYONESA X 250G",151.31046,43,41.49046,569
"MORTIMER ESPONJA CUADRICULADA",155.84479,43,56.08479,569
"MAROLIO PURE DE TOMATES X 520 G",169.11602,43,54.73602,569
"MAROLIO CAB EN ACEITE 380",530.83926,43,166.62927,569
"LA SERENISIMA DESLAC. DESC X 500 CC",252.50025,43,55.99025,569
"HOJALMAR SNACK MATERO AZUC X 180 G",152.10253,43,48.47253,569
"GIGANTE JABON EN PAN X 200 G",155.50491,43,58.72491,569
"RAID APARATO S/CABLE",798.44076,42.99999,281.56076,585
"DEA ESPONJA INOXI X 13G",115.7517,42.00001,40.9917,586
"ACE MATIC NAT C/SUAV X 400",155.28,42,39.78,587
"ALA LAVAJILLA PLUS NATURALEZA X 750 ML",252.71052,42,81.35052,587
"JUGO P.ARCOR MULTIFRUTA",79.98518,42,28.13518,587
"LA VIRGINIA BOLDO X 25 SAQ",192.56686,42,64.04686,587
"SPEED ENERGY DRINK X 250 CC",343.32287,42,112.32287,587
"SEDAL SH CERAMIDAS X 350 ML",629.54861,42,234.40861,587
"PAN P.PANCHOS FARGO 216G",314.60302,42,87.80302,587
"MAROLIO PATE X 90 G",114.42568,42,38.40568,587
"LA SERENISIMA LECHE DESC  L.V X 1",354.14754,42,89.96754,587
"HELLMANNS MAYONESA LIGHT X 250 G",223.6703,42,84.1603,587
"ACTIMEL FRUTILLA X 100 G",106.87587,42,25.39587,587
"NUTRIQUES QUESO RALLADO X 40G",93.97268,41.99999,28.87268,598
"SEDAL SH CREMA X 350 ML",641.02027,41.99999,228.70027,598
"ARCOR DULCE BATATA C/CHOC X 1 KG",564.36791,41.755,264.38521,600
"FIDEO RIVOLI MOÐO CHICO X 500G",198.28648,41,56.01648,601
"HELLMANNS LIGHT MAYONESA X 125 CM3",120.22317,41,28.09317,601
"RAID ESPIRAL X 12 UNID NUEVO",207.46337,41,63.17337,601
"SER YOGUR COLCHON DURAZNO X 180 G",308.25013,41,80.70013,601
"TERMIDOR CAJA TINTO X 1 L",375.81,41,144.31,601
"SER YOGUR BEBIBLE FRUTILLA CALCIO X 190",269.31538,41,58.98538,601
"ROSAURA MAIZENITAS",51.15113,41,50.74112,601
"LIMPITUS PH X UNID",42.55933,41,18.36933,601
"KEKSY GELATINA MANZANA X 120 G",114.27528,41,41.29528,601
"3D X 38 G",218.85982,40,38.40982,610
"YOGS LIGHT FRUTILLA X  900 G",352.07748,40,70.87748,610
"ROMYL TRAPO DE PISO",274.57005,40,129.77005,610
"JUGO P.BC NARANJA 9.7G",61.07,40,22.27,610
"HOJALMAR PALMERAS X 150 G",148.49357,40,42.89357,610
"FARGO TAPAS P/PASCUALINA LIGHT  X 390 G",394.03048,40,115.23048,610
"FARGO GALLETAS AGUA LIGHT X 185 G",177.97803,40,45.57803,610
"ESENCIAL TEXTURADO 4X30",274.00542,40,90.69542,610
"COLGATE 70+20",244.40008,40,98.00008,610
"BABYSEC CLASICO C/BARR XG X 8",319.69,40,108.09,610
"ACTIVIA SACHET FRUT, MANZ X 750 CC",392.68423,40,80.28423,610
"YOGUR SANCOR FORT FRUT X 190G",170.44084,40,39.64084,610
"TARAGUI MATE COCIDO X 25 SAQ",217.9249,40,74.3249,610
"SERENITO CHOCO BOMBAS X 118G",277.25251,40,72.05251,610
"MAURI VAINILLAS X 160 G",196.54891,40,65.34892,610
"LIFEBUOY JABON NATURE X 125G",228.74422,39.99998,73.54429,625
"JABON P.ALA MATIC MULTIA.800G",496.16961,39.00002,200.5495,626
"BIO L.CASEI MULTIFRU X 95G",126.75,39,29.25,627
"ELITE ROLLO COCINA DOBLE X 3",523.01101,39,108.44101,627
"JUGO P.BC POMELO RASADO 10.3G",58.27061,39,20.44061,627
"SEDAL SH CREMA NUEVO X 200",401.3449,39,177.0949,627
"ZORRO BIO CRIST MATIC X 400",162.98191,39,33.50191,627
"YOGS SANCOR BANANA LICUADO X 190 G",226.75638,39,51.64638,627
"TOPLINE STRONG X 4 UNID",78.84,39,42.57,627
"SER YOGUR FORTIFICADO X 1 L VAINILLA",331.84639,39,70.13639,627
"MAMA COCINA REBOZADOR X 500G",171.85018,39,47.74018,627
"LAYS X 150 G",650.68049,39,120.28049,627
"LA VIRGINIA TE FILTRADO R.100U",469.90634,39,161.41634,627
"CADA DIA KETCHUP X 250 G",169.90814,39,54.70813,627
"BLEM LUSTRA MUEBLE X 400 CM",647.72148,39,218.25148,627
"BORITA SUAV BEBE X 900 CC",280.96667,39,115.21668,627
"ACOND.SEDAL PRO NATU.200ML",401.24044,38.99999,137.21044,641
"YOGUR MANFREY C/TROZOS DE FRU",96.41277,38.99999,26.99277,641
"PURISIMA ENTERA EN POLVO X 800 G",1317.64999,38.99999,466.27999,641
"INCA JUGO DURAZNO LIGHT 10 G",47.45918,38.9999,19.37924,644
"LA PAULINA QUESO BARRA X  K",1937.16423,38.92,783.67922,645
"GASEOSA COCA COLA RET.2.5LT.",439.69566,38.00001,107.57567,646
"AZUCARADAS MARMOLADAS X 80 G",72.38,38,21.66,647
"BC JUGO MULTI X 1 L",258.75437,38,69.83437,647
"FARGO GALLETAS SALVADO SIN SAL X 225 G",173.14,38,47.36,647
"MAROLIO PULPA DE TOMATE X 520 G",137.67035,38,45.71035,647
"YOGS FORTIFICADO DURAZNO X 1 L",339.414,38,70.374,647
"SPRITE X 500 CC",191.01519,38,32.93519,647
"SER YOGUR FIRME VAINILLA X 195 G",178.51922,38,40.57922,647
"SANCOR MANTECA CLASICA X 100 G",249.53807,38,74.35807,647
"RECETAS DE LA ABUELA PEPAS X 200",156.93626,38,45.33626,647
"QUILMES BOCA ANCHA X 500 CC",383.82,38,112.5,647
"PLUSBELLE SH SEMILLAS X 1 LTS",426.90621,38,132.40621,647
"GRACIELA REAL 000 X 5 K",819.28511,38,239.18511,647
"GRANIX SALVADO 270G",186.08,38,48.84,647
"GODET GELATINA CEREZA X 100 G",155.07072,38,43.05072,647
"FARGO RODAJA FINA X 440 G",509.3852,38,132.4252,647
"ALICANTE CALDO DE PUERRO X 10",46.34158,37,18.96158,662
"CALIPSO TOALLAS ANATOMICAS BODY FIT X 8",91.56972,37,33.47972,662
"DANICA MOSTAZA X 60 G",67.57048,37,24.28048,662
"VITAL 1 X 200 ML",187.59,37,37.74,662
"VIENISSIMA LIGHT X 6 UNDS",365.50419,37,109.46419,662
"TARAGUI YER.MAT.C/P.(4FLEX)500",460.71891,37,145.47891,662
"ODORONO REXONA X 60 G",371.456,37,131.426,662
"MANA RELLENAS FRUTILLA X 165 G",186.7971,37,49.52709,662
"LA TUCUMAN.TAPA EMPANADAS X25U",240.77978,37,74.27978,662
"INCA JUGO P. LIGHT ANANA 10G",47.55477,37,20.91477,662
"GRANIX SIN SAL X 185 G",158.97036,37,40.38036,662
"FOSFOROS BUENOS DIAS 220UN",83.4773,37,28.3473,662
"FARGO RAVIOLES POLLO X 500 G",734.86,37,236.53,662
"ENCENDEDORES CANDELA",82.58,37,31.15,662
"COMBO PEPSI+7UP MEGA",1109.62105,37,1109.62105,662
"CHOCOLATE LOVE 26G",149.03255,37,52.46255,662
"ARCOR PULPA DE TOMATE X 520G",132.8073,37,41.0473,662
"ZUKO CERO JUGO P.CITRU 9G",26.97409,36.00003,11.85408,679
"LACTAL PASCUALINA HOJALDRE X 390 G",275.41533,36.00001,76.69533,680
"VIVERE DIA A DIA X 900",218.2482,36.00001,80.7282,680
"AGUILA BARRA CHOC X 14 G AMARGO",72.28056,36,28.72056,682
"ARCOR TOMATE CUBETEADO X 400 G",213.76427,36,65.44427,682
"YOGS SANCOR FRUTILLA LICUADO X 190 G",209.10315,36,47.46315,682
"VIVERE CLASICO X 900 ML 7DIAS",353.70004,36,73.62004,682
"TORASSO NARANJA X 2500 CM3",218.7,36,56.7,682
"SPRITE X 1500 CC",416.183,36,101.183,682
"SERENITO CRASH VAINILLA PACK X 2",256.76117,36,64.52117,682
"SERENITO COMBINADO X 130 G (VAINILLA DCE",177.49524,36,54.15524,682
"QUILMES LATA X 473 CC",349.71422,36,100.59422,682
"MOGUL TORTUGUITA 25G",73.29391,36,26.49391,682
"LANZER FOCO",216.19418,36,111.79418,682
"FAROLITO VELASX120G",116.82957,36,39.78957,682
"EXPRESS LIGHT X 330 G",332.68834,36,91.84834,682
"ESPADOL JAB ORIGINAL 3X90G",541.25577,36,177.65577,682
"EFFICIENT REXONA X 200 G",662.16558,36,237.12558,682
"CRUZ DE MALTA MATE COCIDO X 25 X 3G",230.21362,36,64.61361,682
"BOLSA 3.50 PESOS",126,36,33.48,682
"BC MAYONESA X 125 CC",79.57,36,24.92,682
"AYUDIN COLORES VIVOS X 220 ML",190.41699,36,68.37699,682
"ENVASE CER/GACEOSA",105.38298,35.00001,0.38297,701
"YOGS LIGHT VAINILLA X  900 G",311.34,35.00001,65.29,701
"GODET GELATINA DURAZNO X 100 G",152.62896,35.00001,46.12898,701
"7UP X 2250 CC",496.79,35,117.39,704
"AQUARIUS MANZANA X 500 CC",147.3221,35,34.9721,704
"BARFY HAMBURGUESA X 276 G",339.53615,35,119.82615,704
"CEREAL MIX LIGHT FRUTILLA X 28 G",110.60798,35,35.49798,704
"CAFE LA VIRGINIA EQUILI.250G.",429.4636,35,133.3636,704
"UPA LA LA TOALL.HUM. 100 UN.",372.41061,35,131.48062,704
"SER CEREALES MANZANA X 23 G",138.52921,35,49.97921,704
"SAL FINA DOS ANCLAS ESTUCHE X 500 G",85.61,35,18.62,704
"POWERADE MOUNTAIN BLAST  X 500 ML",228.64833,35,58.66833,704
"PLUSBELLE SH BAMBU X 1 LTS",398.44845,35,127.19845,704
"PAMPERS BABYSAN X 10 UNID (M)",420.43,35,113.13,704
"MOGUL FRUTALES X 50 G",69.51274,35,19.81274,704
"LA SERENISIMA JUNIOR FRUTILLA X 1 L",285.3786,35,69.0786,704
"GELATINA SHIMY NESTLE MANZANA X 110 G",128.5905,35,29.8905,704
"FUYI TABLETAS X 12",303.10761,35,94.20761,704
"DULCYPAS PEPAS 200G",106.18,35,29.53,704
"DANONINO BEBIBLE FRUTILLA PACK X 4",436.18613,35,107.18613,704
"COFLER BLOCK X 38 G",141.13379,35,58.18379,704
"LA MORENITA TE X 25 SAQ.",60.47431,34.99999,18.4743,722
"SERENITO ERA HIELO 114 G",241.48352,34.99999,61.93354,722
"FUYI ESPIRAL X 4 X 50G",62.78591,34.99995,17.28597,724
"KOLYNOS 180G NUEVO",400.09651,34.00001,119.9365,725
"MAROLIO PAN RALLADO X 500 G",137.21999,34.00001,41.25999,725
"COLGATE CEPILLO + PASTA",450.83012,34,175.77015,727
"FLAN VILLA RICA X 120 G",104.09,34,40.85,727
"DEA LANA DE ACERO X 45G",79.86701,34,29.20701,727
"INCA JUGO P. LIGHT LIMON 10G",40.47685,34,15.99685,727
"ROCKLETS X 40 G",136.68378,34,52.36378,727
"ROMYL LANA DE ACERO 60G.",123.92706,34,52.86705,727
"PENNISI CAB EN ACEITE 380G",415.01398,34,117.51398,727
"LUCCETTI CALDOS GALLINA X 12 UNDS",238.31673,34,62.19673,727
"FIDEO RIVOLI CODO X 500G",125.49687,34,38.45687,727
"FANTA X 500 CC ZERO",170.1694,34,28.7294,727
"JABON T.REXONA 3X125G",375.84791,33.99999,121.18791,737
"SEDAL SHAMP SOS CER X 300 ML",432.4323,33.00001,143.02224,738
"ACTIVIA BEBIBLE PERA KIWI X 200 G",209.76805,33,47.73805,739
"YOGURISIMO VAINILLA 1.1 KG",298.8656,33,77.9456,739
"VIRULANA ESP LISA X",101.65934,33,45.55934,739
"TORASSO MANZANA X 2500 CM3",199.05,33,50.55,739
"SER DULCE DE LECHE X 400 G",377.62821,33,104.05821,739
"PORTEÐITAS X 130 G",130.76552,33,38.12552,739
"POLVORITA VAINILLA 150 G",100.47,33,28.2,739
"NOBLEZA GAUCHA YERBA AZUL X 500 G",403.32442,33,121.05442,739
"MAURI FAUNA X 400 G",271.22377,33,89.10377,739
"LA SERENISIMA LECHE P/DESC BOT L.V X 1L",298.56257,33,62.94257,739
"KNORR SOPA CREMA DE VERDURA, X 62.5",142.07639,33,43.40639,739
"JABON T.REXONA NUTRI FR.3X125",362.11,33,114.94,739
"JABON T.ARGETINO 200G",200.39151,33,62.78151,739
