"Emisión: 31/10/12 12:53:45
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUN' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"GRACIELA REAL 0000 X 5KG",970.71,50,233.21,392
"KENIA JABON VARIEDAD X 3 UNIDADES",248.68001,50,72.57001,392
"LAYS  X 85 G",504.2,50,89.2,392
"LUX JABON DESEO DE MORA X 125 G",211.27,50,66.77,392
"SUSARELLI AZUL X 500 G",337.88,50,116.78,392
"LA SERENISIMA LECHE ENTERA L.V. X 1 L",392.3,50,79.3,392
"ILOLAY DULCE DE LECHE CLA X 400 G",446.63,50,114.30999,392
"AZUCARADAS VAINILLA X 80 G",95.27,49.99999,28.77,400
"CHEETOS X 38 G",251.35,49.99998,43.85,401
"PALADINI PICADA ESPECIAL X KG",1260.68958,49.43498,568.59982,402
"ACTIMEL FRUTILLA X 100 G",125.8,49,30.74,403
"BIO PACK X 4 FRUTILLA",582.41,49,113.58,403
"CLIGHT DUO MANGO-PERA X 6.5 G",88.46,49,28.68,403
"SOPA POLLO CON ARROZ ALICANTE",242.14,49,87.79,403
"SI DIET X 500 CC",461.43,49,153.22,403
"PATY HAMBURGUESAS EXPREESS X 276 G",770.45,49,250.07,403
"MOGUL TIBURONCITOS X 30 G",98.84,49,37.1,403
"LACTAL TAPA P/ EMPANADAS HORNO X 340 G",275.87,49,79.38,403
"HUGGIES CLASSIC XXG X 8",577.85,49,165.83,403
"HIGIENOL EXPORT PLUS 6X30",487.52349,48.00002,161.60339,412
"BIO PACK X 4 MULTIF",573.22,48,114.38,413
"SANCOR LECHE DESCREMADA X 1 L (LARGA VID",366.83,48,74.69,413
"SER FLAN TENTACION 2 X 110 G",338.72,48,76.64,413
"PLUSBELLE JABON CERAMIDA 140G",229.5,48,73.02,413
"ILOLAY DULCE DE LECHE X 200 G",235.89,48,64.04999,413
"LACER FOCO 75/100 W",284.98,48,145.78,413
"BON O BON OBLEA NEGRA X 30 G",120.7,48,51.88,413
"ELITE PAÑUELOS DESCX 10 UNID",97.12,48,57.46,413
"CHEMBRA VINO 1250 PATERO",679.35999,48,199.83999,413
"AGUILA BARRA CHOC X 14 G AMARGO",95.4,47,40.41,422
"PEHUAMAR MANI PELADO X 100 G",315.34,47,99.14,422
"LA VIRGINIA CAFE INST SUAVE X 50 G",383.15,47,122.26,422
"GRANIX ARITOS FRUTALES X 130 G",260.34,47,75.63,422
"FELA SALCHICHA X 6 UNDS",271.87,47,96.09,422
"DANONINO BEBIBLE VAINILLA X 200 G",264.6,47,63.49,422
"LA ESPAÐOLA TRIGO PELADO X 500 G",122.81,47,34.45,422
"CACHAMATE YERBA ROSA X 500 G",566.89,47,159.3,422
"FANTA X 1500 CC ZERO",506.79,47,127.58,422
"YOGUR.ACTIMEL.VAINILLA.6X100G",571.89,46.99999,103.84999,431
"3D X 38 G",232.1,46,41.2,432
"ALICANTE COMINO MOLIDO X 25 G",195.6186,46,75.0986,432
"ZUKO JUGO UVAS BLANCAS",34.5,46,15.18,432
"YOGUR MANFREY C/TROZOS DE FRU",109.24,46,31.44,432
"PROCENEX PINO X 900",177.52,46,55.62,432
"MOGUL OSITO X 30 G",92.28,46,34.32,432
"MANTECOL X 25 G",103.99,46,35.45,432
"JUGO P.ARCOR MANZANA 25G.",70.58,46,20.44,432
"INCA JUGO P. LIGHT ANANA 10G",55.37,46,22.25,432
"ILOLAY YOGUR DESC VAIN.FIRME X 200 G",117.46073,46,29.24073,432
"FANTA X 500 CC NARANJA",213.51,46,36.09,432
"CINDOR LA COPA X 100 G",240.82,46,61.56,432
"CEREAL MIX GALLETA C/ SEMILLASY CHIPS 23",312.48,45,91.08,444
"MEDIA TARDE X 330 G  3 UNID",218.64,45,60.9,444
"MIRINDA X 2250 CC MANZANA",574.8,45,142.43,444
"LITORAL YERBA MATE X 50 UNID",388.95,45,121.65,444
"LINA NORM C/ALAS X 8",126.72,45,50.40998,444
"ILOLAY LECHE EN POLVO X 800 G",1421.4,45,362.02,444
"JUGO P.INCA LIMON 30G",54.34,45,13.48,444
"LA SERENISIMA GRIEGO FRUTILLA X 100",181.59,45,30.06,444
"KINDER CHOCOLATE MAXI X 21 G",159.46,45,53.71,444
"DELICIA MARGARINA MOLINOS X 200 G",212.05,45,63.1,444
"SABROFOOD ALIMENTO P/PERRO X",220.50824,44.31,91.38555,454
"CREMA DE LECHE MANFREY 200ML.",240.86,44,66.95,455
"YOGURISIMO FIRME ENT X 200 G FORT",179.96,44,37.72,455
"YOGS FORTIFICADO FRUTILLA X 1 L",374.76,44,77.32,455
"SER YOGUR COLCHON DE FRUTAS X 190 G (FRU",286.66,44,57.54,455
"ODOL X 90G NUEVO",203.58,44,70.62,455
"LA SERENISIMA DULCE DE LECHE COLONIAL X",408.07,44,110.08,455
"FARGO GALLETA AGUA X 175 G",181.72,44,47.96,455
"GATORADE MANZANA X 473 ML",377.99,44,112.39,455
"ELITE ROLLO DE COC X 3",500.15,44,164.87,455
"ADES NARANJA X 1 L",281.8,43,67.04,464
"BOLSA 2.00 PESOS",86.28,43,-2.3,464
"BRANCA FERNET X 750 CC",2187.64,43,541.91999,464
"BORITA SUAV BEBE X 900 CC",267.58,43,96.02,464
"BABYSEC CLASICO C/BARR G X 9",318.36,43,87.39,464
"TERRABUSI HABANITOS  X 60 G",216,43,67.7,464
"SPRITE X 500 CC",200.64,43,36.11,464
"SANCOR BEBE 2 X 250 CM3",251.77,43,49.52,464
"QUESO UNT.LA SERE.CREMON 200G",403.82,43,92.36,464
"PREFERIDO REBOZADOR X 500 G",242.23,43,92.16,464
"LA SERENISIMA LECHE FE ENTERA X 1 L L.V",346.28,43,69.11,464
"HIGIENOL MAX 6 ROLLOS X 80 METROS",840.96,43,275.32,464
"DANETTE CREMA AMERICANA X 2",288.09,43,69.59,464
"ACTIMEL MULTIFRUTA X 100 CC",108.6,42,27.12,477
"ALICANTE CALDO P/SABOR VERDURA SIN SAL",47.96,42,24.87,477
"BOLSA 3.50 PESOS",151.41,42,43.47,477
"BORITA SUAVEIZANTE SOL X 900 CC",263.13129,42,92.46129,477
"CLIGHT NARANJA DULCE X 8 G",77.18,42,26.14,477
"HOJALMAR TRADICIONAL X 150 G",128.39999,42,28.79999,477
"VIRULANA ESP LISA X",131.53,42,60.13,477
"SUAVIZANTE BORITA X 900 CC",264.02605,42,93.89605,477
"LA ESPAÐOLA AVENA ARROLLADA X 500 G",143.79,42,39.63,477
"JABON PLUSBELLE CREMOSO 140G",201.49,42,64.57,477
"GRANJA DEL SOL MILANESA DE SOJA  T.C  33",743.7,42,229.62,477
"EL BIERZO MORTADELA BOCHA X  KG",1788.39779,41.96,884.62263,488
"ALICANTE CALDO P/SAB FINAS HIER X 10",51.93,41,21.59,489
"VIÐAS DE ALVEAR TINTO X 700 CC",470.02,41,137.43,489
"PAMPERS BABYSAN XXG X 8",448.01,41,137.64,489
"SER YOGUR BEBIBLE DURAZNO CALCIO X 190 G",256.78,41,61.02,489
"JUGO CEPITA MULTIFRUTA 200ML.",85.79,41,27.24,489
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 500 G",450.59,41,238.21,489
"ESENCIAL LINEA NATURAL 4X50",352.11,41,119.23,489
"CAMPANITA CLASSIC 6 X 30",350.87,41,96.31,489
"HELLMANNS KETCHUP X 60 G",80.14997,40.99998,21.77999,497
"ACE JAB EN POL REGULAR X 400 G",224.17,40,61.77,498
"SUSARELLI ROJO X 500 G",207.58,40,67.28,498
"SOPA CAMPESTRE FIDEOS ALICANTE",198.07,40,65.27,498
"SAN IGINIO ALCOHOL  X 250 CC PLASTICO",211.62,40,59.68,498
"MAROLIO VINAGRE ALC X 1000 CC",196.8136,40,53.5336,498
"LA SERENISIMA LECHE DESC  L.V X 1",329.52,40,85.12,498
"KNORR SOPA CREMA DE POLLO X 75 G",171.77,40,58.25,498
"FORMIS DULCE DE LECHE X 108 G",157.1,40,48.3,498
"FIDEO RIVOLI MOSTACHO X 500G",144.1,40,41.7,498
"FAVORITA FIDEO TALLARINES X 500 G",169.96,40,49.16,498
"YOGURISIMO GO FRUTILLA X 190 CC",198.72,40,41.72,498
"ESENCIAL ROLLO DE COC X 3",277.52,40,161.52,498
"CHICLES BELDENT MENTA FUERT",80.84,40,14.44,498
"CERROS TUCUMANOS DURAZNO X 1 L",178.02,40,45.22,498
"CALIPSO PROTECTORES ANATOMICOS X 20",144.52,40,50.24,498
"BRIO SODA X 1750 CM3",366.88,40,100.08,498
"BABYSEC CLASICO C/BARR XG X 8",295.6,40,80,498
"AYUDIN COLORES VIVOS X 220 ML",166.72,40,53.52,498
"BRANCA FERNET X 450 CC",1294.5,39,378.87,516
"VIDACOL FRUTILLA 80 G",128.31,39,26.91,516
"TORO CAJA TINTO X 1 L",349.89,39,99.51,516
"SANTA ANA SELECCION TINTO X 700 CC",274.57,39,74.11,516
"MANTECOL 130G",353.52,39,114.45,516
"LA TUCUMANITA PASCUALINA",297.36,39,90.66,516
"KNORR SOPA VERD Y CARNE + FIDEOS",169.88,39,51.51,516
"KNORR SOPA CAS POLLO Y MUNIC + FID",168.11,39,48.78,516
"HELLMANNS MAYONESA X 125 G",89.63,39,24.01,516
"GREEN HILLS TE CLASIC X 25 UNID",207.71,39,78.23,516
"DULCE DE L.G.DE ORO 250G.",178.89001,39,54.48001,516
"CACAO NESQUIK N/ACTIVE 180G.",244.68,39,71.73,516
"ROMANCE YERBA ESPECIAL X 500 G",432.75001,38.99999,130.89001,528
"ALA LAV LIMON X 750 ML",229.56,38,65.39999,529
"BARFY HAMBURGUESA X 276 G",350.00998,38,126.95,529
"FARGO ÐOQUIS 500 G NUEVO",430.64,38,125.12,529
"JABON P.ALA VIVERE MATIC 400G.",217.22,38,60.88,529
"YOGUR MANFREY ENT.VAINILLA X",90.82,38,27.36,529
"VIVERE CLASICO X 900 ML 7DIAS",380.97,38,121.05,529
"UNION MATE COCIDO SUAVE X 25",209.38,38,57.76,529
"SER POMELO R POLVO X 11.5 G",60.86,38,19.44,529
"PLUSBELLE JABON REFRESC140G",183.8,38,59.92,529
"MANA LIVIANAS VAINILLA X 145G",148.75,38,42.73,529
"LIMOL JABON T. ARMONIA 3X90G",244.79,38,83.87,529
"LA SERENISIMA LECHE ENT BOTELLA LV X1L",319.41,38,62.03,529
"LA SERENIS GRIEGO ARANG 100G",152.74,38,25.44,529
"JUGO P.TANG NJA.-BAN.25G.",60.42,38,18.62,529
"JUGO P.ARCOR MULTIFRUTA",85.36,38,25.44,529
"SABROSITOS ALIMENTO P/PERRO MIX K",277.3338,37.435,104.75845,544
"BIO L.CASEI FRUTILLA X 95G",110.68,37,26.69,545
"MANTECA MANFREY CALIDAD EXTRA",316.23,37,93.52,545
"YOGS CREMOSO DURAZNO  2 X 125 G",185.03,37,35.55,545
"SOLITAS PEPAS X 1 K",480.6,37,162.4,545
"NOSOTRAS TOALLA NAT.PLUS  X 8",186.98,37,63.15,545
"MAROLIO PICADILLO X 90 G",95.7,37,28.97,545
"MAROLIO PALILLERO X 100 UNDS",111.92,37,42.73,545
"CACAO NESQUIK 360G",467.59,37,109.8,545
"LA TRANQUERA YERBA X 500 G",370.56,37,109.54,545
"FARGO GALLETAS AGUA LIGHT X 185 G",152.81,37,40.33,545
"JUGO P.ARCOR ANANA 25G.",55.43,37,19.96,545
"GRANIX  BALONCITO X 150 G",222.14501,37,61.19501,545
"GIGANTE JABON EN PAN X 200 G",120.11,37,42.38,545
"CHOCO CHIPS X 135 G",140.87,37,42.45,545
"PLUSBELLE AC CREME X 1000",415.87,36.99999,129.12,559
"ALA LAVAJILLA PLUS FRUTAS CITRICAS X 750",215.32,36,59.8,560
"PROCENEX MARINA LIMPIADOR 3 EN 1 X 900",138.56,36,43.16,560
"POSTRE MANFREY DDL 120G.",93.24,36,25.92,560
"MAROLIO TOMATE PELADOS X 400G",158.4,36,45.36,560
"MAGISTRAL LIMON X 300",353.61,36,130.77,560
"DON YEYO PASCUALINA HOJALDRE X 400 G",317.22,36,95.82,560
"CITRIC NARANJA X 500 CC",215.28,36,59.4,560
"BORITA CARICIAS X 900",223.78,36,79.48,560
"ALA SOL JABON P. REGULAR 800G.",452.36,36,317.66,560
"3 ARROYOS PIERNA/MUSLO POLLO X K",767.4369,35.37,368.9321,569
"ABUELA SOPA POLLO ALICANTE 65G",172.19,35,60.89,570
"FARGO RODAJA FINA X 440 G",431.52,35,113.02,570
"KNORR SOPA CASERA DEDALITOS X 73 G",149.34,35,48.19,570
"VILLAVICENCIO AGUA MINERAL X 2000 CM3",199.274,35,56.824,570
"VIDACOL MULTI 80 G",115.15,35,24.15,570
"QUAKER POLENTA MAGICA X 500 G",146.9485,35,43.3485,570
"NESCAFE DOLCA SUAVE RENOV.50G.",316.50001,35,103.43002,570
"MAIZENA X 200 G",105.55,35,30.41,570
"LUCCHETTI CALDOS VERDURA X 12 UNDS",232.49,35,60.29,570
"LA VIRGINIA BOLDO X 25 SAQ",159.67,35,52.57,570
"LA TRANQUERA YERBA MATE X 50 SAQ",326.22,35,105.11,570
"JUGO CEPITA MANZANA T-B 200CC",77.35,35,23.43,570
"FARGO RAVIOLES POLLO X 500 G",614.25,35,175.7,570
"CEREAL MIX GALLETA C/ AVENA Y PASAS 230",242.72,35,70.52,570
"ACTIVIA SACHET FRUT, MANZ X 750 CC",346.06,35,72.71,570
"DVD $ 2.00",70,35,35,570
"BAGGIO MULTIFRUTA X 200 CC NUEVO",79.39,35,23.04,570
"ACTIVIA CIRUELA 0% 2X125G",214.74,34,51.88,587
"AGUILA CHOCOLATE TAZA X 100 G",393.88,34,135.48,587
"YOGS SANCOR 2 X 125 G VAINILLA",181.92,34,37.57,587
"SOLITAS EXHIBICION X 1 K",436.23,34,134.31,587
"SANCOR FLAN CASERO LIGHT 2 X 120 G",301.01,34,67.78,587
"SALSA PIZZA ARCOR 340G.",171.75,34,42.89,587
"REXONA JAB REV FRESH X 125",139.02,34,42.12,587
"PROCENEX FLORES DEL JARDIN X 900 CC",131.50999,34,41.40999,587
"PREFERIDO PAN RALLADO X 500 G",188.0902,34,82.6902,587
"PLUSBELLE SH BAMBU X 1 LTS",375.97932,34,112.47932,587
"MOGUL TORTUGUITA 25G",68.28,34,25.44,587
"MICHEL TORINO SUC. ABEL SELEC. TINTO X 7",247.86,34,73.1,587
"MAURI VAINILLAS X 160 G",128.03,34,36.18,587
"MAURI SALVADO X 400 G",264.86,34,79.56,587
"LIFEBUOY JABON TOTAL X 125G",187.6,34,41.6,587
"LA SERENISIMA POR SALUT LIGHT X 200 G",316.57,34,70.45,587
"KNORR SOPA CREMA DE ARVEJAS CON JAMON X",146.86,34,49.68,587
"JABON T.LUX SORPRENDEME 125G.",148.5,34,112.79,587
"FARGO TAPAS P/PASCUALINA LIGHT  X 390 G",322.85,34,95.05,587
"FARGO TAPAS P/PASCUALINA DE HOJ X 2",320.23,34,92.43,587
"FANTA X 2250 CC NARANJA",419.71,34,90.21,587
"CUPIDO JABON TOCADOR X 3 UNDS",147.957,34,37.457,587
"BAGGIO PRONTO DURAZNO X 1L",217.8,34,58.5,587
"ALICANTE SOPA CREMA DE HUMITA X 69 G",167.29,34,48.29,587
"BRUMOLINE FULL",379.81999,33.99999,139.43999,611
"CRIOLLITAS ORIGINAL X 300 G",184.75989,33.99998,50.01997,612
"FIAMBRE SURTIDO ESPECIAL X K",957.91541,33.70003,402.18198,613
"BAHIA SARDINA AC/AGUA X 125G",331.62014,33.00001,186.75008,614
"7UP X 2250 CC",423.67,33,106.38,615
"SER YOGUR COLCHON DE FRUT,ARAND,GR X 190",215.71,33,44,615
"SER YOGUR BEBIBLE FRUTILLA CALCIO X 190",210.21,33,51.73,615
"SER DULCE DE LECHE X 400 G",365.45,33,98.32,615
"ROSAURA TORTA DE HOJALDRE REDONDAS",1019.4,33,204.22,615
"ROSAURA PAN RALLADO X 1 KG",332.8,33,13.36,615
"RIERA TOSTADAS C/GLUTEN DULCES X 200 G",255.21,33,64.69,615
"MAURI VAINILLAS X 320 G",239.67,33,66.86,615
"LA SERENISIMA DESLAC. DESC X 500 CC",194.46,33,44.07,615
"LA SERENISIMA CREMA DOBLE X 200 G",233.63,33,59.57,615
"YOGURISIMO GO VAINILLA X 190 CC",159.41,33,33.68,615
"VIENISSIMA X 10 X 375 G",524.37,33,144.87,615
"TERMIDOR CAJA TINTO X 1 L",284.93,33,87.26,615
"SUSARELLI AZUL X 1 KG",380.26,33,132.85,615
"SER YOGUR FIRME VAINILLA X 195 G",147.97,33,33.18,615
"KNORR SOPA CAS GALLINA + FIDEOS X 92.5",140.84,33,39.13,615
"HELLMANNS LIGHT MAYONESA X 125 CM3",90.44,33,27.47,615
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 250 G",243.25,33,63.73,615
"GIGANTE JABON EN PAN X 200G",106.59,33,37.38,615
"FIDEO RIVOLI PAMPERO X 500G",119.47,33,34.99,615
"ALA MATIC MULT FRESH X 400 NUEVO",189.93,33,57.32,615
"ALA LAVAJILLA PLUS NATURALEZA X 750 ML",189.3,32,51.06,636
"CUMANA ATUN NATURAL DESM.170G",161.77999,32,51.69998,636
"SOLITAS LEGENDARIA GALLETAS X 1 K",418.97,32,148.33,636
"SIEMPRE LIBRE ESPECIAL S/ALAS X 8",112.32,32,38.72,636
"PLUSBELLE AC BAMBU X 1000",357.84,32,109.84,636
"PEPAS MAROLIO 200G.",92.48,32,25.28,636
"PAÑUELOS ELITE 6X8U.",156.48,32,48.64,636
"MANHATTAN PA±UELOS X 6 X 10",152.06,32,61.18,636
"LA SERENISIMA JUNIOR FRUTILLA X 1 L",256.9,32,62.64,636
"DANETTE FLAN X 2 X 95 G",217.13,32,53.98,636
"GELATINA SHIMY NESTLE MANZANA X 110 G",112.17,32,25.45,636
"VIDACOL VAINILLA X 4 X 80 G",400,32,73.56,636
"SWIFT GRASA X 1 KG",601.51,32,180.29,636
"FARGO GALLETAS SALVADO LIGHT X 200 G",135.06,32,37.78,636
"ESTRELLA BABY TOAL HUM FRESIAS Y CAM 70",258.84,32,83.48,636
"CUMANA ATUN DES ACEITE Y AGUA X 170G",164.58,32,54.5,636
"ARCOR TOMATE PERITAS PELADOS X 400 G",179.34,32,47.5,636
"LA LOMA BARRA KG",1617.42466,31.15001,682.92439,653
"ILOLAY QUESO BARRA X 1 K",1725.42212,31.125,658.01284,654
"MANFREY DULCE DE LECHE X KG",516.7192,31.04,155.3308,655
"ALFAJOR B&N TRIPLE 73.5G",124,31,32.45,656
"MARBELLA CABALLA AL NATURAL X 425 G",362.63,31,110.29,656
"LUCCHETTI FIDEO SPAGHETTI X 500 G",214.29,31,58.36,656
"ILOLAY FRUT BEBIBLE X 190 G",109.29,31,29.14,656
"HOJALMAR SNACK MATERO AZUC X 180 G",92.69,31,25.11,656
"GRANIX TRIGALITAS X 120 G",70.99,31,18.91,656
"GRANIX FRUTIGRAN SEMILLAS CHIA/LINO X 24",237.41,31,64.43,656
"GASEOSA COCA COLA RET.2.5LT.",340.69,31,82.15,656
"FARGO FIDEO CINTA MEDIANA X 500G",308.45,31,88.04,656
"ECHO EN EL BALDE X 450 CC",179.99,31,61.26,656
"YOGUR MANFREY C/TROZ.DUR",71.43,31,20.25,656
"VITAL 1 X 200 ML",148.18,31,29.76,656
"TARAGUI YER.MAT.C/P.(4FLEX)500",432.53,31,95.25,656
"SIEMPRE LIBRE ESPECIAL SUAV C/A X 8",177.19,31,61.56,656
"SER JUGO  NJA MAND.9.7G.",49.73,31,15.94,656
"SANCOR QUESO POR SALUT LIGHT X 200 G",295.02,31,72.44,656
"PAMPERS BABYSAN X 14 (XG)",658.87,31,115.44,656
"DOBLE COLA X 2250 CC",252.34,31,66.34,656
"CIF CREMA X 375G",178.64,31,64.19,656
"ARCOR DULCE DE MEMBRILLO X K",496.36325,30.17,207.03295,675
"ALA MATIC MULT C/VIVERE PERF. V X 400 NU",171.60005,30.00001,47.10001,676
"ALA REGULAR 800G",381.88,30,116.32,677
"ARCOR TOMATE CUBETEADO X 400 G",177.54,30,53.94,677
"DANICA DORADA X 200 G",165.63,30,55.78,677
"DULCE DE L.GRANJA DE ORO 400G",192.5,30,51.94,677
"SECCO MANZANA X 2.25 L",203.45,30,57.95,677
"ROLLO COC.SUSSEX 100P 2U",284.2,30,91.9,677
"PAPEL H.HIGIENOL MAX 100M 4 UN",509.56,30,171.8,677
"MATARAZZO TALLARIN X 500 G",222.89,30,58.49,677
"LA TUCUMAN.TAPA EMPANADAS X25U",173,30,50,677
"LA ESPAÐOLA MAIZ PISINGALLO X 500 G",107.54,30,32.24,677
"LA BUENA LUZ BC X 18W",396.98,30,99.98,677
"KNORR SOPA CREMA DE VERDURA, X 62.5",128.68,30,38.98,677
"KNORR CALDO DE VER X 6",167.7,30,48,677
"ILOLAY YOGUR C/ARITOS FRUTALES X 150 G",113.1,30,29.74,677
"TERRABUSI MINI RHODESIA X 60 G",144.41,30,39.76,677
"GODET FLAN VAINILLA X 65 G",81.61,30,23.69,677
"GATORADE NARANJA X 200 CC",104.7,30,32.7,677
"EXTRALIMP BOLLITO ACERO INOXIDABLE X 30",121.38,30,56.58,677
"ESTRELLA ALGODON X 75 G",168.48,30,56.58,677
"DANICA MARGARINA X 200 G",159.19,30,53.95,677
"MANFREY ENT.FRUTILLA",71.45997,29.99998,21.52,697
"BIO L.CASEI MULTIFRU X 95G",86.84,29,21.01,698
"ILOLAY YOGUR ENT. DURAZ. BEBIBLE X  190",103.71,29,28.26,698
"ZUKO CERO JUGO P. NARANJA 9G",23.07,29,10.89,698
"VILLA RICA PIMENTON X 25 G",125.32,29,63.84,698
"TIA MARUCA MARUQUITAS FRUTILLA X 200 G",183.86,29,50.46,698
"TARAGUI MATE COCIDO SAQ X 50 S/ENS",320.51,29,96.17,698
"SPRITE X 2250 CC",355.33,29,72.47,698
"ROSAURA TORTA DE HOJALDE RECTANGULAR",1204.8,29,456.73,698
"PERIQUITA YERBA MATE X 500 G",285.68,29,88.43,698
"PAMPERS BABYSAN X 10 UNID (M)",320.37,29,100.84,698
"NESCAFE DOLCA SUAVE X 100 G",477.6076,29,161.7976,698
"LA SERENISIMA DESLACTO ULTRA X 500 CC",166.61,29,38.23,698
"LA ESPAÐOLA GARBANZO X 500 G",132.1,29,36.4,698
"INCA JUGO CITRUS LIGHT 10 G",34.8,29,13.92,698
"GRANIX SALVADO X 235 G",136.01,29,35.67,698
"CADA DIA MOSTAZA X 60 G",37.77,29,13.7,698
"LA VIRGINIA CAFE INSTANTANEO X 50 G",236.01983,28.99998,73.42995,714
"SABROSITOS GATO MIX X K",286.7253,28.425,108.2163,715
"ACTIVIA CIRUELA X 750 CM",273.56,28,54.88,716
"MANA RELLENAS FRUTILLA X 165 G",141.82,28,39.34,716
"VILLA DEL SUR LEVITE MANZA X 1500 CC",206.64,28,59.36,716
"VIENISSIMA C/QUESO X 225 G",325.5,28,94.5,716
"TANG JUGO ANANA X 25 G",45.4,28,14.6,716
"SPRITE X 1500 CC ZERO",300.04,28,73.36,716
"SALADIX PIZZA X 30 G",65.85,28,21.47,716
"NUTRILON 2 X 200 ML NUEVO",157.08,28,31.36,716
"COLGATE CEPILLO DENTAL PREMIER ULTRA",139.96,28,64.08,716
"JUGO P.TANG POM.ROS.20G.",44.52,28,13.72,716
"JUGO P.INCA DURAZNO 30 GRS.",33.94,28,9.99,716
"ILOLAY YOGUR FRUTILLA-KIWI BEBIBLE",174.38144,28,38.30144,716
"GRANIX SALVADO 270G",132.64,28,35.76,716
"COFLER OBLEA  35G.",86.1,28,30.94,716
"BC MAYONESA X 250 CC",93.25,28,27.17,716
"PAN HAMB.FARGO C/S.216G 4UN",213.70978,27.99996,57.74994,731
"VANOLI ACEITUNA X 1K",621.3097,27.91003,324.63049,732
"66 SALAMIN X 1",332.4,27,151.26,733
"LAYS X 173 G",381.05,27,65.15,733
"LADYSOFT NORMAL C/ALAS X 16",151.31,27,59.78,733
"ESPADOL JAB ACTIVE DEO 3X90G",371.6551,27,121.0951,733
"EL TUCUMANITO TOMATE 270 G",61.83,27,21.33,733
"DANICA DORADA SOFT X 200 G",184.75,27,58.56,733
"DANETTE D.D.L.DUP.190G.",181.59,27,44.84,733
"CRUZ DE MALTA MATE COCIDO X 50",260.7,27,72.78,733
"COFLER BLOCK X 38 G",101.25,27,39.15,733
"CLIGHT POMELO ROSADO X 11 G",50.33,27,17.39,733
"CANALE DURAZNOS X 820 G",307.51,27,43.99,733
"UPA LA LA TOALL.HUM. 100 UN.",238.56,27,75.21,733
"TURRON MANICOL 100G",108,27,46.17,733
"TORO CAJA BLANCO X 1 L",177.93,27,49.68,733
"TE LA MORENITA RAP.INFUSION 25",67.93,27,29.05,733
"SPRITE X 1500 CC",281.38,27,62.21,733
"SER YOGUR FIRME FRUTILLA X 200 CC",122.85,27,28.59,733
"SANCOR FLAN CASERO 2 X 120 G DULCE DE LE",241.61,27,56,733
"SANCOR CREMA DE LECHE X 200 G",188.73,27,38.3,733
"JABON P.ALA MATIC C/VIVERE 800",335.3018,27,101.1618,733
"INALPA ARVEJAS X 350 G",67.93,27,19.6,733
"HIGIENOL SIN FIN 360 MT",450.25,27,141.37,733
"GODET GELATINA FRAMUESA X 100 G",101.59,27,29.08,733
"SALSATI SALSA PIZZA DP X 340 G",148.62987,26.99998,35.99995,756
"LA LOMA SARDO KG",1743.3297,26.95,665.3297,757
"SANCOR CREMOSO KG",1370.4282,26.09,519.9594,758
"MAROLIO PAN RALLADO X 500 G",88.14,26.00001,25.21999,759
"ACE JAB EN POL MINIESPUMA X 400 G",138.24,26,25.66,760
"EXTRALIMP BOLLITO SIMIL ORO X 30 G",171.4051,26,87.1651,760
"FORMIS FRUTILLA X 108 G",101.40001,26,30.68002,760
"HOGARE±AS MIX DE CEREALES X 176 G",119.08,26,32.76,760
"ZORRO BIO CRIST MATIC X 400",98.86,26,12.54,760
"VILLAVICENCIO AGUA MINERAL X 1.500 CM3",128.94,26,37.55,760
"SUSSEX PREMIUM X 3",353.75,26,124.17,760
"SER YOGUR COLCHON DURAZNO X 180 G",174.06,26,36.52,760
"SER TENTACION POSTRE D/LECHE 2 X 105 G",171.88,26,41.88,760
"SALADIX JAMON X 30 G",61.17,26,19.96,760
"ROSAURA ROSQUETES",105.12,26,104.86,760
"RI-K MAYONESA X 250G",77.71,26,21.68,760
"PROT.DIA.MULTIF.PH BAL.20U",184.68,26,64.3,760
"POETT LIMPIADOR LIQUIDO LAVANDA X 900 CC",127.22,26,38.3,760
"PAMPERS JUEGOS Y SUEÐOS X 8 (XG)",388.32,26,144.7,760
"MERCI FRUTILLA X 150 G",76.22,26,21.62,760
"MENTHO PLUS CHERRY",52.28,26,15.1,760
"JUGO ADES DE PERA 1LT.",168.74,26,37.7,760
"HUGGIES CLASSIC G X 9",299.42,26,80.95,760
"COLGATE TOTAL 12 PROF CLEAN X 100G",348.49,26,112.15,760
"SABROSITOS CACHORRO X K",263.1542,25.895,92.59145,780
"ILOLAY QUESO CREMOSO X 1 K",1204.3868,25.655,412.08355,781
"M&K SAL FINA 500G.",32.12001,25.00001,11.37001,782
"AGUILA ALFAJOR BOWNIE X 74 G",100,25,30.37,783
"ARCOR PULPA DE TOMATE X 520G",87.25,25,23.25,783
"BC JUGO MULTI X 1 L",149.89,25,35.69,783
"BC MAYONESA X 125 CC",55.68,25,17.68,783
"ALWAYS PROTEC DIARIOS X 54 UNDS",457.31,25,155.31,783
"ILOLAY MANTECA X 200 G",240.22,25,57.06,783
"ILOLAY CREMA DE LECHE X 350 G",316.27,25,93.35,783
"HELLMANNS MAYONESA LIGHT X 250 G",126.98,25,38.75,783
