"Emisión: 10/09/12 12:05:02
Los mas Vendidos $
Año : '2012' , Mes : 'AGO' , Cantidad  : '5000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"LA MORENITAS CAFE TOSTADO 250G",207.21,17,69.17,857
"SER GALLETAS AVENA/MANZ. X 115 G",207.06,39,54.62,858
"SANCOR LECHE DESCREMADA X 1 L (LARGA VID",206.7,26,41.34,859
"ALA LAV LIMON X 750 ML",206.43566,34,47.31566,860
"CEPILLO PLANCHITA",206.36083,17,101.81083,861
"PALADINI QUESO DE CERDO  X 1 K",205.97982,4.98,88.45182,862
"BABYSEC CLASICO C/BARR G X 20 NUEVO",205.7,13,56.33,863
"SANCOR FLAN CASERO 2 X 120 G CARAMELO",205.57715,22,47.61715,864
"HEAD SHOULDERS SHAMPOO RELAX 400 ML",205.1166,6,77.8266,865
"GRANIX FRUTIGRAN TROPICAL X 250 G",204.70745,26,54.94745,866
"BORITA BRISA DE CAMPO X 900",204.6037,29,83.6737,867
"GLUTAL ALMIDON X K",203.98496,20.01,79.14071,868
"CRUZ DE MALTA MATE COCIDO X 100 SAQ.",203.93805,8,65.53805,869
"SUSARELLI AZUL X 500 G",203.65,27,74.32,870
"PAMPERS BABYSAN XXG 22U",203.5,5,56.9,871
"AYUDIN LAVANDINA MAXIMA PUREZA X 1L",203.26204,47,58.03203,872
"AZUCAR SURCO X 1KG",203.20552,33,71.53552,873
"MR MUSCULO BLOQUE MOCH.X UN",203.09,10,76.79,874
"KNORR SOPA CREMA DE VERDURA, X 62.5",202.87,47,62.34,875
"DONCELLA ALGODON X 75 GRS",202.54999,42.00001,69.40999,876
"FICEO RIVOLI MOÐO GRANDE X 500G",202.25565,42,56.51565,877
"HUGGIES CLASSIC RN CELESTE X 20 UNID",202.17835,7,65.04835,878
"CHEETOS X 38 G",202.1,40,36.1,879
"MANTECOL X 110 G",202.02,22,76.76,880
"CRE.DENT.COLGATE L.WHITE",201.19,11,54.45,881
"ESTANCIA DE MENDOSA MALBEC X 750",200.96,9,57.28,882
"JABON P.ALA MULTI.C/VIV.V.400G",200.81309,35.00001,55.56309,883
"3D X 38 G",200.7,40,34.7,884
"ZORRO BIO CRISTALES X 800 G REG",200.41714,20,72.21714,885
"PREFERIDO REBOZADOR X 500 G",200.13935,36,73.08935,886
"RIERA TOSTADAS CLASICAS MESA  200 G",200.1,29,53.07,887
"ACOND.H&S MANZANA 200 ML.",199.95377,13.00001,66.81377,888
"3D X 85G",199.9,18,35.2,889
"QUILMES LATA X 473 CC",199.81,21,54.49,890
"LACTAL PASCUALINA HOJALDRE X 390 G",199.72843,26,56.42843,891
"MAROLIO GALLETAS SURT X 360G",199.65,43,59.47,892
"SANCOR QUESO RALLADO REGGIANITO X 120 G",199.6,13,51.79,893
"SOPA KNORR CASERA C/FIDEOS 88.",199.57084,45.99999,62.99084,894
"LA BLANCA VIANDADA X 332 G",199.26,15,81.66,895
"LAMPARA OSRAM 15W/865",199.07,13,62.7,896
"ROSAURA GALLETAS SALADAS",198.67494,4.415,198.63079,897
"SANCOR BEBE 3 X 1L",198.66,14,39.76,898
"YOGURISIMO C/ARITOS 162 G",197.75,49,62.02,899
"GODET CHOCOLATE FAMILIAR X 100 G (TAZA)",197.63996,23,70.67999,900
"LANZER FOCO",197.45228,33,101.75228,901
"H&S SHAMP SENSITIVE CON ALOE X 200 CC",197.45,13,67.31,902
"MAMA COCINA PREMEZCLA ÐOQUIS X 500 G",197.26,24,53.5,903
"CRE.DENT.AQUAFRESH 107.7G.",197.10162,21,70.05161,904
"LARIO SALCHICHON PRIMAVERA K",196.77144,6.43,78.83691,905
"LA ESPAÐOLA POLENTA X 500 G",196.65646,144,55.53646,906
"LA SERENISIMA QUESO RALLADO X 150 G",196.65587,11,54.20587,907
"MANTECOL X 40 G",196.5,45,70.15,908
"CERROS TUCUMANOS DURAZNO X 1 L",196.25153,41,52.75153,909
"TERMA CUYANO X 1250 CC",196.2,18,52.56,910
"HELLMANNS MAYONESA X 125 G",195.88688,84,54.32688,911
"HEAD SHOULDERS SHAMP PUREZA Y BRILLO X 2",195.67,13,68.53,912
"SER BARRA DURAZNO X 23 G",195.35,50,68.85,913
"CACAO NESQUIK N/ACTIVE 180G.",195.05,30,58.49,914
"FAVORITA FIDEO TALLARINES X 500 G",194.73275,42,56.97275,915
"ILOLAY DULCE DE LECHE X 200 G",194.28052,37,56.27052,916
"DANETTE CHOCOLATE SUIZO X 2",194,27,51.85,917
"LA HOJA X 1 KG",193.86,10,53.56,918
"GREEN HILLS TE CLASIC X 25 UNID",193.45829,35,58.00829,919
"BABY ALGABO TOALLAS HUM X 80",193.44,21,81.72,920
"SER CRACKER X 360 G",193.25,19,61.01,921
"PLUSBELLE JAB REFR 3X125",193.1124,17,58.9824,922
"AYUDIN LAVANDINA CONC X 1 LTS",192.98442,36,61.62442,923
"YOGURT SANCOR TROZO X 180GRS",192.45,31,44.58,924
"INALPA ARVEJAS X 350 G",192.28516,69,59.82516,925
"FARGO LIVIANO X 620 G",191.8,11,50.8,926
"MAURI VAINILLA X 80 G",191.75929,88,61.4493,927
"PUREZA HARINA C/LEV X 1KG",191.74854,32.99998,60.40854,928
"FARGO CAPPELETTIS 4 QUESO. X 500 G",191.55,10,54.77,929
"KNORR SOPA CREMA DE POLLO X 75 G",191.40394,43,62.83394,930
"ACTIVIA CIRUELA 0% 2X125G",191.26,28,47.9,931
"DUAREN ACEITUNAS X 220 G",191.22501,73.99995,49.14501,932
"FARGO LACTEADO X 650 G",190.83,10,55.83,933
"STELLA ARTOIS X 1 L RET",190.78,12,47.48,934
"SANCOR FLAN X 110 G",190.68,55,45.48,935
"CHEETOS X 85 G",190.35079,17,34.80079,936
"LA SERENISIMA CHUBUT FRACCIONADO X K",190.3209,2.695,59.2878,937
"ARIES CARBON 3 K",190.25999,21,53.75999,938
"ILOLAY CREM LIGHT X 300 G",189.88626,19,45.67626,939
"MAROLIO ANANA X 565G",189.81,19,51.87,940
"ILOLAY CREMA DE LECHE X 350 G",189.29638,14.99999,53.09638,941
"YOGURISIMO GO FRUTILLA X 190 CC",189.21881,35,39.76881,942
"ZORRO BIO CRISTALES NUEV 800 G",188.7059,19.99999,57.1559,943
"FARGO FIDEO CINTA MEDIANA X 500G",188.67,17,54.22,944
"LA VIRGINIA CAFE INSTANTANEO X 50 G",188.28523,22,61.78523,945
"FARGO GALLETAS AGUA LIGHT X 185 G",188.13,43,51.07,946
"LUX JABON T. REFRESCATE 125G.",188.00775,38.99998,68.66775,947
"TORASSO MANZANA X 2500 CM3",187.77979,29.99996,47.82995,948
"BAGGIO PRONTO MULTIFRUTA NUEVO X 1 L",187.50355,28,55.07355,949
"JUGO P.TANG NJA.-BAN.25G.",187.33507,117.00001,52.75507,950
"YOGS CREMOSO DURAZNO  2 X 125 G",186.59,35,38.89,951
"DEO.DOVE AP.B.FINISH AERO.100G",186.47,9,67.76,952
"LUMILAGRO TERMO MEDITERRANEO",186.04,3,67.54,953
"PANTENE ACOND LISO Y S X 200 ML",185.89593,12,63.85593,954
"POSTRE BON O BON B/CHOC 120G",185.87199,19,59.33199,955
"PLUSBELLE JABON PURIFICA X140G",185.69086,38,72.07086,956
"VIRULANA ROLLITOS X 10 U",185.49827,29.99999,84.99827,957
"AYUDIN CANASTA VERDE X 16G",184.95506,24,66.15506,958
"BABYSEC ULTRA (XG) X 8 UNID",184.82001,17.99999,46.40002,959
"FARGO SALVADO DOBLE 770G",184.45963,9,43.96963,960
"MICHEL TORINO SUC. ABEL SELEC. TINTO X 7",184.19,25,55.69,961
"ALA SOL JABON P. REGULAR 800G.",183.8,14,58.08,962
"KNORR SOPA CAS GALLINA + FIDEOS X 92.5",183.50925,42,58.88925,963
"IRENE FIDEOS DOBLADITOS VERDE X 500G",183.12663,20,48.12663,964
"PAMPERS BABYSEC M 66",183.01105,2,45.27105,965
"BC JUGO DURAZNO X 1 L",182.75992,29.99999,51.05998,966
"MAURI FAUNA X 400 G",182.22763,25,61.66763,967
"SILLON INFANTIL",182.09,6,68.69,968
"ILOLAY QUESO BARRA X 1 K",182.03494,3.59,58.21569,969
"SALSATI SALSA PIZZA DP X 340 G",181.74,30,53.64,970
"RECETAS DE LA ABUELA PEPAS X 200",181.49438,45,53.24438,971
"JUGO P.INCA NARANJA MANGO 30G",181.47417,149,46.94417,972
"BLANCAFLOR PIZZA CASERA X 500 G",181.36,21,53.68,973
"BABYSEC ULTRA XXG X 14",181.22306,11,43.83306,974
"NOBLEZA GAUCHA YERBA SUAVE X 500 G",181.20999,14.99998,54.15999,975
"LA TUCUMANITA FIDEO CL X500GR.",180.29801,20,54.29801,976
"ILOLAY CHOCOLATADA X 250 CM",180.19007,42.00002,60.49003,977
"COCINERO ALTO REND 1LT",180.1832,8,64.0932,978
"PALADINI PICADILLO DE CARNE X 90 G",180.17614,51,58.28614,979
"BABELITO OLEO CALCARIO X 200 G",179.97,9,69.99,980
"COSQUIN JABON VERDE",179.84699,148,99.927,981
"KIN AGUA MINERALIZADA S/GAS X 2000 CC",179.50009,31.00002,48.50003,982
"PALADINI HAMBURGUESA X 4 UNDS",179.47,11,54.51,983
"KIN AGUA X 5 L",179.34,16,48.54,984
"CORMILLOT MERM DURAZ S/ AZUC 390",179.07,15,49.77,985
"ROSAURA MEDIALUNAS DE MANTECAS",178.92,111,177.81,986
"ALWAYS TOALL. ACT.ULT.F.C/A 8U",178.69629,18,61.66629,987
"VENTUS MER MAL CAB SAU X 750",178.67,8,53.23,988
"ARCOR TOMATE CUBETEADO X 400 G",178.17,30,64.77,989
"JOVIFELPAVA ACERO 1.6 L",177.62,2,74.62,990
"SANCOR BEBE YOGUR VAINILLA X 2",177.53,30,38.03,991
"ARCOR CHOCLO ENT 310G",177.49987,26.99998,34.66998,992
"ARCOR CHOCLO AMARILLO CREMOSO X 350 G",177.15,26,50.27,993
"HILERET 1A10 X 100",176.6,16,60.02,994
"YOGS CON TROZOS DE FRUTILLA X 180 G",176.18003,28,42.62001,995
"PLUSBELLE JABON T. EQUIL.140G.",176.06213,36,68.42213,996
"DULCE D L.LA SERENISIMA 500G.",175.42,14,50.12,997
"CLIGHT MANGO X 10 G",175.29,97,48.29,998
"AYUDIN MAXIMA PUREZA X 2 L",174.38223,23,54.78221,999
"ELITE PAÑUELOS DESCX 10 UNID",174.15386,86,105.01386,1000
"CEREAL MIX GALLETA C/ AVENA Y PASAS 230",173.79455,25,50.79455,1001
"BAGGIO MULTIFRUTA X 200 CC NUEVO",173.62492,76.00001,51.68491,1002
"CRUZ DE MALTA MATE COCIDO X 50",173.32062,14,51.38062,1003
"LA VIRGINIA CAFE INSTANTANEO X 100 G",173.24457,11,56.97457,1004
"VILLA DEL SUR LEVITE NARANJA X 1500 CC",172.27,21,52.57,1005
"LA ESPAÐOLA MAIZ BLANCO X 500 G",171.66134,60,48.67134,1006
"EXPRESS LIGHT X 330 G",171.6,19,44.49,1007
"CEREAL GRANIX CHOCOFORTYS 200G",171.5786,21,48.7286,1008
"ILOLAY LECHE POLVO DES. 30 X 5 G",171.29223,11,44.46223,1009
"PLUSBELLE ACOND SEM DE LINO Y MIEL X 1 L",171.01,15,54.76,1010
"ALGABO BABY TOALLITAS HUMEDAS + TALCO",170.98362,11,75.83362,1011
"MANA RELLENAS FRUTILLA X 165 G",170.94188,34,46.50188,1012
"FARGO GALLETA AGUA X 175 G",170.9,39,45.72,1013
"LAYS AL PLATO X 34 G",170.56,34,31.16,1014
"FELA ARROLLADO DE POLLO X 1",170.11507,2.715,76.12177,1015
"EL DIQUE VINAGRE X 1L",169.65042,34.99998,55.55043,1016
"LIMOL JAB AIRES DE PUREZA 3X90G",169.43,27.00001,54.68,1017
"GODET GELATINA FRUTILLA X 100 G",169.25478,41,48.71478,1018
"ACE MATIC NATUTRALS C/SUAV X 3KG",168.85,5,47.15,1019
"VILLA DEL SUR AGUA X 2250 CC",168.74,26,49.4,1020
"DESFILE LIA X 400 G",168.19906,24,45.55907,1021
"JUGO P.INCA MANZANA 30G",167.94882,136,45.03882,1022
"JUNIOR CON JUGO DE FRUTILLA X 200 CC",167.66,44,41.82,1023
"FERRERO ROCHER X 16",167.6,4,55.84,1024
"TORTILLINAS FARGO X12U",167.12,13,44.44,1025
"MAGISTRAL MARINA X 600 ML",166.98,8,72.02,1026
"ACOND.SEDAL PRO NAT.PUR.R.200M",166.64,16,58.32,1027
"VIVERE DIA A DIA X 900",166.50784,27.00001,58.77784,1028
"NESQUIK CEREAL DUO NESTLE 230G",166.26,9,57.36,1029
"HUGGIES ACT+CLAS ELLOS XXG 40",166.1,2,58.2,1030
"INCA JUGO P. MANDARINA",165.96829,136.00002,46.28829,1031
"KEVIN SPIRIT X 150",165.65,8,57.17,1032
"DULCOR FRUTILLA LIGHT  X 420 G",165.64611,25,52.36611,1033
"UPA LA LA ! SHAMPOO X 200 CM",165.45187,16,62.41187,1034
"VILLA DE LOS ARROYOS SODA X 1500 CC",164.95,34,49.03,1035
"OSRAM B CONSU 10W",164.89,11,49.5,1036
"ODOLITO X 50G",164.32159,23,58.44159,1037
"KNORR SOPA VEG Y LETRAS + FID X 88.5G",164.23999,38,51.82,1038
"AIR WICK AROMATIZANTE MATIC 50% DES LAV",163.98,2,40.42,1039
"GILLETTE PRESTOBARBA 3 X UNID",163.87245,20,49.63245,1040
"MATARAZZO LASAGNA 250 GRS",163.8708,17,43.1708,1041
"QUESABORES 4 QUESOS LIGHT 150G",163.6498,10.99999,35.16996,1042
"VUAL EXCEL 4X30",163.61494,22,57.79494,1043
"YOGURISIMO GO VAINILLA X 190 CC",163.58692,30,35.48692,1044
" M&K SAL GRUESA 1 KG.",163.34104,69,50.87104,1045
"YOGS LIGHT FRUTILLA X  900 G",163.14,18,36.6,1046
"DRIVE BR TARDE  LAV.MANO.3KG",162.89,5,49.79,1047
"COFLER LECHE/ALM X 55 G",162.78177,23,56.98178,1048
"MATARAZZO SPAGHETTI X 500 G",162.76,20,43.56,1049
"COFLER LECHE X 55 G",162.75381,23,56.95381,1050
"ACE LIQUIDO C/SUAV X 1500",162.47411,6,45.53411,1051
"YOGS CON TROZOS DE FRUTILLA LIGHT X 180",162.46,23,40.55999,1052
"POWERADE MOUNTAIN BLAST  X 500 ML",162.39,21,39.9,1053
"ILOLAY YOGUR DEC.VITA FRUTILLA X 1 L",161.5,24,38.62,1054
"TORO CAJA BLANCO X 1 L",161.36528,20,46.36528,1055
"GRANIX SIN SAL LIGHT X 360 G",161.33001,17,42.16001,1056
"ILOLAY CREM CLS X 300",161.24,16,45.72,1057
"SER JUGO NARANJA X 12.8G",160.98589,100,49.98589,1058
"VILLA DEL SUR LEVITE ANANA X 1.500 CC",160.92022,20.00003,46.92006,1059
"LA SERENISIMA LECHE ENT EN POL X 500G",160.87,7,33.82,1060
"LA SERENISIMA LECHE P.DES.200G",160.72,14,42.14,1061
"MANA RELLENAS CHOCO X 165 G",160.58,32,43.46,1062
"HOJALMAR SNACK MATERO AZUC X 180 G",160.51224,44.99999,52.06226,1063
"SKIP INTELLIGENT PERFEC RESULTS X 400 G",160.27192,17,52.23192,1064
"PATRICIA ALEN ALCOHOL PVC X 500 CC",159.9,19,51,1065
"SANCOR BEBE MANZANA BANANA X 2",159.83,27,34.28,1066
"LA SERENIS GRIEGO ARANG 100G",159.68,32,36.8,1067
"SER TENTACION POSTRE D/LECHE 2 X 105 G",159.66112,22,37.56112,1068
"CBSE SILUETA NARANJA X 500G",159.66,11,39.87,1069
"TORASSO POMELO AMARILLO 2.25LT",159.57,25,43.44,1070
"LA CAMPAGNOLA ATUN EN ACEITE X 120 G",159.24,10,48.44,1071
"ILOLAY YOGUR ENTERO VAIN.FIRME X 200 G",159,60,48.6,1072
"DEL JARDIN AZUCAR X 1 KG",158.91001,24.99999,31.91002,1073
"YOGS SANCOR BANANA LICUADO X 190 G",158.7,27,37.47,1074
"PLUSBELLE AC CEREMIDAS X 1000",158.48,14,50.26,1075
"YOGUR MANFREY C/CEREAL V",158.45028,39,39.50028,1076
"LINCOLN CLA.153G",158.04,34,44.82,1077
"ALGABO COMBO SHAMPOO/ACOND.+ TALCO",157.89,7,64.72,1078
"SOLITAS ANIMACION GALLETAS X 1K",157.7,12,47.87,1079
"RECETAS DE LA ABUELA BIZC AZUC X 200 G",157.65,39,47.28,1080
"LA SERENISIMA RICOTTA MAGRA X 500 G",157.41,11,36.3,1081
"PANIER TOSTADAS C/GLUT.200G",157.25,21,47,1082
"UPA LA LA ! CREMA DE ENJUAGUE",157.22229,15,60.62229,1083
"AQUARIUS MANZANA X 1500 CC",157.15,18,41.29,1084
"SOLITAS ROSQUITAS X 1 K",157.05,12,43.95,1085
"PURE DE TOMATES ARCOR C/AZ.520",156.97642,46.99995,38.53655,1086
"AYUDIN COLORES VIVOS X 220 ML",156.96,33,49.49,1087
"RAID TABLETAS X 12",156.84,20,55.04,1088
"CERROS TUC. DULCE DE LECHE X 1 K",156.78018,10.00001,46.78005,1089
"SHAMP.SEDAL PRO NAT.200ML",156.65,15,55.1,1090
"DULCE D L.GRANJA DE ORO 1KG",156.42,10,43.62,1091
"ODOL NUEVO X 70G",156.29,41,55.02,1092
"TANG JUGO PERA X 35 G",156.05783,97,44.27783,1093
"DOVE JABON CREMOSO X 135 G",156.00087,18,53.72087,1094
"FOSFOROS TRES PATITOS X400",156,24,78.48,1095
"LA SERENISIMA MANTECA X 500 GR.",155.96,7,33.11,1096
"VARIEDAD DORADA 300 G.",155.72286,16,44.36286,1097
"BABYSEC CLASICO C/BARR XG X 8",155.7,20,49.9,1098
"GODET BIZCOCHUELO VAINILLA X 480 G",155.25,19,48.66,1099
"JUGO P.INCA PERA 30G",155.19976,125,42.14976,1100
"MATARAZZO FETTUCCINE X 500 G",154.9,17,42.19,1101
"NESTLE AGUA MINERAL X 5 L",154.7,10,44,1102
"JOVIFEL CACEROLA ENL  ROSAS 18",154.57462,2,63.97462,1103
"PANTENE ACOND RIZOS DEFINIDOS X 200",154.39,10,50.29,1104
"ALWAYS TOALL. ACTIVE C/A 8U",154.34,14,52.9,1105
"PEPSI /MIRINDA X 1250 CC VIDRIO",153.62,20,38.08,1106
"CACHAMATE HIER SERR YERBA X 500 G",153.61,12,50.19,1107
"KNORR CALDO DE VER X 6",153.53122,25,58.18122,1108
"BABELITO MAMADERA CURVA X 250 ML",153.22,2,54.36,1109
"CARCASSONNE CLAS X 700 CC",153.06,9,52.17,1110
"ARIEL LIQ VERDE X 1500CC",152.97009,4,45.72002,1111
"HUGGIES NUEVO PACK 30+30 M",152.97,2,47.07,1112
"GIGANTE JABON EN PAN X 200 G",152.80999,44,55.18999,1113
"ACOND.SEDAL PRO NATU.200ML",152.75893,15,51.20893,1114
"VILLA DEL SUR LEVITE POMELO X 1500 CC",152.68703,19,44.38703,1115
"ARCOR MERM FRUTILLA/ARANDANO X 454 G",152.49,11,42.93,1116
"ALA PLUS LAVAVAJILLAS 750 ML",152.41,24,40.97,1117
"HOGAREÐAS 7 SEMILLAS X 181 G",152.36124,34,39.48124,1118
"ILOLAY YOGUR ENTERO FRUT.FIRME X 200 G",152.31876,58,45.59876,1119
"JABON T.REXONA NUTRITIVA 125G",152.25135,36,52.35134,1120
"QUAKER AVENA TRADICIONAL X 400 G",151.92,19,69.27,1121
"SKIP NEGRO X 800 G",151.92,8,46.4,1121
"EL PIZZERO MOZZARELA  X 1 KG",151.30051,3.275,59.60051,1123
"QUILMES BOCA ANCHA X 500 CC",151.25,15,44.15,1124
"MAURI SALVADO X 900 G",150.88966,9,43.96966,1125
"GALL.TERRABUSI VARIEDAD 400G.",150.86,15,43.46,1126
"HELLMANNS MAYONESA LIGHT X 250 G",150.85972,28,49.21972,1127
"PEPSI X 500 CC",150.81866,30,46.71866,1128
"PANTENE REPARACION SHAMP X 200",150.7,10,48.4,1129
"QUERICO FIDEO DOBLADITO N¬ 2 X 500 G",150.55468,23,40.38468,1130
"CALIPSO TOALLAS POCKET ROJO",150.45473,50,53.95473,1131
"GATORADE MANZANA X 200 CC",150.10375,39,40.90376,1132
"MANTECOL X 250 G",150,10,42.4,1133
"PUGLISI CABALLA ACEITE S/S 380",149.96,10,53.16,1134
"DON YEYO TAPA P/ EMPANADAS HORNO X 330 G",149.93324,21,42.83324,1135
"BABYSEC ULTRA (M) X 12",149.85,15,34.5,1136
"YOGUR MANFREY ENT.VAINILLA X",149.80777,59,45.96777,1137
"TRES PLUMAS CAFE AL COÑAC X 750 CC",149.78364,6,44.78364,1138
"ARLISTAN CAPPUCCINO 220 G",149.75,6,41.57,1139
"CHORISO COLORADO",149.48,27,67.8,1140
"BABELITO OLEO CALCAREO 500 ML",149.21,6,54.11,1141
"LA SERENISIMA QUESO EN HEBRAS LIG X 150",148.68,12,29.76,1142
"GRANIX SALVADO SIN SAL X 645 G",148.62679,11,37.63679,1143
"JUGO P.TANG NAR/BAN/FRUT 35G.",148.45719,90,43.00719,1144
"FIDEO RIVOLI MOÐO MEDIANO X 500G",148.27007,31,40.70007,1145
"BAGGIO PRONTO DURAZNO JUNIOR X 125 ML",147.61113,96,45.29113,1146
"DULCOR DURAZNO LIGHT  X 420 G",147.25,22,46.27,1147
"CALIPSO POCKET TOTAL X 8 C/ALAS",147.12587,50,50.62587,1148
"LA CAMPAGNOLA CABALLA EN ACEITE X 300 G",147.11,9,27.5,1149
"DOVE DURAZNO R-ON X 50 G",147.04,10,69.64,1150
"ALA SOL REGULAR JAB EN POLVO X 400 G",146.83949,26,38.93949,1151
"X5 ESPIRAL CAJA X 12 UNID",146.72299,19,50.01299,1152
"GRANIX FRUTIGRAN DULCE C/SALVADO X 250 G",146.69,23,40.66,1153
"DON YEYO PASCUALINA CRIOLLA X 380 G",146.36,16,49.88,1154
"ACTIVIA BEBIBLE MANZA CIRUELA X 200",146.27002,23,33.34,1155
"GALLO ORO ARROZ  X 1 KG",146.25,9,36.45,1156
"BON O BON OBLEA NEGRA X 30 G",146.19676,58,47.59676,1157
"VILLA DEL SUR LEVITE PERA X 1500 CC",145.95439,18,43.35439,1158
"PALADINI MORTADELA X 500 G",145.76,6,56.78,1159
"TORASSO NARANJA X 2500 CM3",145.72262,23,38.26262,1160
"HUGGIES ELLOS CLAS+ACT EG 40 U",145.7,2,37.8,1161
"GIACOMO TRIDICCI X 500 G",145.66999,7,46.96999,1162
"HUGGIES ACT+CLAS ELLAS XG 40 U",145.426,2,37.526,1163
"EVEREADY EX. DURACION X 4 UNID (AA)",145.32,14,48.44,1164
"EXTRALIMP ESCOBILLO GONDOLA LA",145.07259,6,61.31259,1165
"KNORR SOPA CREMA DE ARV LIGH X 46",145.07,24,44.75,1166
"ORAL-B ADVAN+PASTA DENTAL",144.96115,8,54.32115,1167
"DOVE GO FRESH AERO X 100 G",144.88,7,52.55,1168
"LUCCHETTI NIDOS FETTU X 500",144.83606,18,37.73606,1169
"HUGGIES CLASSIC M   X 10",144.77,12,43.13,1170
"RAID MATA PULGAS X 400 CC",144.7219,3,52.0219,1171
"LA TANQUERA X 1 KG",144.59,7,43.57,1172
"GRANIX FRUTIGRAN DULCE C/SALVADO X 500 G",144.57611,15,39.87611,1173
"EL VIVE SHAMP. HYDRA 200ML.",144.5,9,52.55,1174
"PEHUAMAR MANI PELADO X 100 G",144.5,17,45.9,1174
"YESI JARRITO PLASTICO",144.46,27,63.46,1176
"SANCOR DULCE DE LECHE X 1 K",144.26,6,31.8,1177
"HELLO KITTY HUEVO CHOC.",144.23,19,42.2,1178
"SYLVANIA LAMPARA BAJO CONS.11W",144.09382,11,34.31382,1179
"COLGATE MAXFRESH 75 G",143.89,10,49.49,1180
"ELVIVE SH RENUTRIC 200ML",143.86,9,57.76,1181
"MAGGI PURE DE PAPAS X 125 G",143.81092,26,33.83092,1182
"CLIGHT PERA X 10 G",143.76234,79,41.48234,1183
"COLON CABERNET SAU X 750 CC",143.43,7,44.87,1184
"TOPLINE SANDIA X 4 UNI",143.34,92,56.66,1185
"LA SERENISIMA MANTECA LIGHT X 200 G",143.28,10,36.78,1186
"CHESTER ICE X 107 ML",143.07169,8,53.32169,1187
"BABYSEC CLASICO C/BARR G X 9",143.02727,19,38.51727,1188
"TRAMONTINA NEW KOLOR CUCHARA X 12",142.85345,3,63.32345,1189
"HEAD SHOULDERS ACOND PROTEC. CAIDA X 400",142.76,4,56.8,1190
"AGUILA CHOCOLATE  250G.",142.73,7,42.91,1191
"ETCHART PRIVADO TORRONTES X 750 CC",142.73,7,46.34,1191
"VANISH X 400 ML",142.58,16,51.22,1193
"JABON P.ALA MATIC SOL 400G",142.42624,25,42.92624,1194
"ACE LIQUIDO C/ SUAVIZANTE X 3000",142.29,3,40.65,1195
"FIDEO RIVOLI PAMPERO X 500G",142.25868,38.99998,42.41868,1196
"CLIGHT MANGO X 18 SOBRES",142.25,5,32.6,1197
"YOGS LIGHT VAINILLA X  900 G",141.87,16,29.39,1198
"JABON P.ALA MATIC MULTIA.800G",141.62715,11,58.24715,1199
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 250 G",141.52,19,38.16,1200
"CANALE ENSALADA DE FRUTAS X 820 G",141.48,8,18.12,1201
"HUGGIES ACT+CLAS ELLAS G 50",141.48,2,36.7,1201
"LA CAMPAGNOLA PURE TOMATE 520G",141.44115,37,44.87115,1203
"ESENCIAL SECADOR X N¬40",141.17,15,50.42,1204
"SER JUGO MANZANA TENTACION X 9.5 G",141.14,88,43.46,1205
"ALICANTE COMINO MOLIDO X 25 G",141.07569,33,54.61569,1206
"ARCOR MERM CIRUELA DIET X 390 G",141.05,13,40.3,1207
"BABYSEC XG H.P.32UN",140.86,4,38.9,1208
"LACTAL TAPA P/ EMPANADAS HORNO X 340 G",140.75,24,41.39,1209
"LA VIRGINIA CHOCOLINO X 180 G",140.73647,23,46.66647,1210
"SAN IGINIO ALCOHOL  X 250 CC PLASTICO",140.69449,25,53.4445,1211
"PAMPERS BABYSAN P X 12 NUEVO",140.34,12,43.45,1212
"JABON T.LUX SORPREND.125G.3UN",140.27941,10,56.87941,1213
"LA LOMA RICOTA MAGRA  X 1 K",140.20875,7.725,55.23375,1214
"SERECOL NARANJA X 1 L",139.93,9,29.68,1215
"INCA JUGO P. LIGHT NARANJA 10G",139.88377,115,61.04377,1216
"POLYANA TALCO DE LUJO X 200 G",139.84617,35,59.69617,1217
"MANA LIVIANAS VANILLAI 3 UNDS",139.73639,20,34.33639,1218
"ACTIVIA BEBIBLE PERA KIWI X 200 G",139.7,22,31.68,1219
"YOGUR SANCOR FORT VAIN X 190G",139.54674,33,31.63674,1220
"GLADE AERO LAVANDA X 360CM3",139.51,17,45.5,1221
"DRIVE FLORES DE PER REG X 400G",139.46225,32,42.18225,1222
"LA VIRGINIA TE VERDE X 25 SAQ",139.02,23,50.01,1223
"JOVIFEL VASO CONICO CIRC. VERD",139,10,70,1224
"SEDAL SH CLIMA RESIST X 200",138.84893,14,58.48893,1225
"GIGANTE ANTIB X 750 CC AMANECE",138.72932,26.99999,22.62936,1226
"SEDAL RIZOS OB. SPRAY  150ML.",138.27,5,48.77,1227
"BABYSEC ULTRA M X 72 UNID",138.03,2,42.45,1228
"ROSAURA ROSQUILLAS",138.015,3.025,137.98475,1229
"ESPADOL JAB COOL 3X90G",138,10,45.2,1230
"ARCOR MERM MIX LIGHT X 390 G",137.8,10,34.7,1231
"MAROLIO PURE DE PAPAS X 125 G",137.60851,26,46.34851,1232
"DULCE D/LECH MANFREY CLAS X250",137.43,27,36.99,1233
"ARCOR PULPA DE TOMATE X 520G",137.42224,39,40.70224,1234
"M&KCABALLA EN ACEITE 380G.",137.39,11,39.49,1235
"GELATINA SHIMY NESTLE MANZANA X 110 G",136.87,37,32.53,1236
