codigo de barras;descripcion;pesos;unidades;utilidad;procentaje;acumulado;tipo
7702031970767 ;CAREFREE PROT. BRISA TANGA 20U; 355 ; 32 ; 132 ;0,03%;#°REF!;
7791913001859 ;DOBLE COLA X 2250 CC; 274 ; 32 ; 99 ;0,03%;#°REF!;
7791290003590 ;DRIVE FLORES DE PER REG X 400G; 139 ; 32 ; 42 ;0,03%;#°REF!;
7791290003729 ;DRIVE FRESC.MAR 800G; 290 ; 32 ; 100 ;0,03%;#°REF!;
7793940446009 ;DULCE D.L.LA SERENISIMA 400G.; 303 ; 32 ; 84 ;0,03%;#°REF!;
7790726120054 ;DULCYPAS BIZCOCHOS SALA.200G.; 97 ; 32 ; 34 ;0,03%;#°REF!;
7797470000229 ;EL DIQUE VINAGRE 500ML.; 111 ; 32 ; 34 ;0,03%;#°REF!;
7790045001089 ;GRANIX SIN SAL X 185 G; 134 ; 32 ; 34 ;0,03%;#°REF!;
7791337010116 ;LA SERENIS GRIEGO ARANG 100G; 160 ; 32 ; 37 ;0,03%;#°REF!;
7793940472008 ;LA SERENISIMA CREMA X 360 CC; 381 ; 32 ; 90 ;0,03%;#°REF!;
7795927000013 ;LA TUCUMAN.TAPA EMPANADAS X25U; 210 ; 32 ; 63 ;0,03%;#°REF!;
7790040439306 ;MANA RELLENAS CHOCO X 165 G; 161 ; 32 ; 43 ;0,03%;#°REF!;
7501006720334 ;PAMPERS BABYSAN X 10 UNID (M); 369 ; 32 ; 95 ;0,03%;#°REF!;
7790071050204 ;RIERA TOSTADAS C/GLUTEN DULCES X 200 G; 253 ; 32 ; 66 ;0,03%;#°REF!;
;SANCOR BARRA KG; 2.363 ; 32 ; 893 ;0,03%;#°REF!;
;TATIN ALFAJOR ARCOR X 33 G; 40 ; 32 ; 14 ;0,03%;#°REF!;
;FIDEO RIVOLI MO√êO MEDIANO X 500G; 148 ; 31 ; 41 ;0,03%;#°REF!;fideo
7793360294600 ;BC JUGO MANZANA X 200 ML; 74 ; 31 ; 23 ;0,03%;#°REF!;jugo
7790040720206 ;MANA LIVIANAS LECHE X 145 G; 122 ; 31 ; 36 ;0,03%;#°REF!;leche
7793360674310 ;BC MAYONESA X 125 CC; 69 ; 31 ; 22 ;0,03%;#°REF!;mayonesa
7793360256905 ;SALSATI PURE DE TOMATE AZ 520G; 115 ; 31 ; 34 ;0,03%;#°REF!;tomate
7790080062076 ;YOGURT SANCOR TROZO X 180GRS; 192 ; 31 ; 45 ;0,03%;#°REF!;yogur
7790150695661 ;ALICANTE CALDO P/SAB FINAS HIER X 10; 39 ; 31 ; 16 ;0,03%;#°REF!;
7795933000243 ;BAHIA SARDINA AC/AGUA X 125G; 281 ; 31 ; 124 ;0,03%;#°REF!;
7790080068191 ;BIO L.CASEI MULTIFRU X 95G; 101 ; 31 ; 24 ;0,03%;#°REF!;
7798085680127 ;CITRIC NARANJA X 500 CC; 208 ; 31 ; 58 ;0,03%;#°REF!;
7791337530829 ;DANETTE D.D.L.DUP.190G.; 227 ; 31 ; 63 ;0,03%;#°REF!;
7898422746827 ;DAVE JAB EXFOLIACION DIARIA 90G; 224 ; 31 ; 67 ;0,03%;#°REF!;
7791625004032 ;EXTRALIMP BOLLITO ACERO INOXIDABLE X 30; 126 ; 31 ; 59 ;0,03%;#°REF!;
7794626000751 ;HUGGIES CLASSIC XXG X 8; 360 ; 31 ; 98 ;0,03%;#°REF!;
7790895000119 ;KIN AGUA MINERALIZADA S/GAS X 2000 CC; 180 ; 31 ; 49 ;0,03%;#°REF!;
7793100120060 ;KOLYNOS NUEVO X 90G; 210 ; 31 ; 74 ;0,03%;#°REF!;
;LA ESPA√êOLA AVENA ARROLLADA X 500 G; 107 ; 31 ; 30 ;0,03%;#°REF!;
7797470000175 ;MAROLIO CAB EN ACEITE 380; 393 ; 31 ; 122 ;0,03%;#°REF!;
7790580864811 ;MOGUL TORTUGUITA 25G; 63 ; 31 ; 23 ;0,03%;#°REF!;
77923424 ;ODORONO REXONA X 60 G; 315 ; 31 ; 118 ;0,03%;#°REF!;
7790202000207 ;PENNISI CAB EN ACEITE 380G; 379 ; 31 ; 114 ;0,03%;#°REF!;
7792798007219 ;QUILMES CRISTAL BAJO CERO X 1 L (RET); 312 ; 31 ; 114 ;0,03%;#°REF!;
;SECAPISOS SACCHI N¬¨40; 709 ; 31 ; 215 ;0,03%;#°REF!;
;TABLETA X 1 UND; 23 ; 31 ; 11 ;0,03%;#°REF!;
7790150696774 ;LA VIRGINIA CAFE EN SAQ. X 20 UNDS; 428 ; 30 ; 144 ;0,03%;#°REF!;cafÈ
7798053339064 ;FIDEO RIVOLI MOSTACHO X 500G; 109 ; 30 ; 32 ;0,03%;#°REF!;fideo
7795907000392 ;LUCCHETTI FIDEO TALLARINES X 500 G; 226 ; 30 ; 62 ;0,03%;#°REF!;fideo
7791290002722 ;JABON P.ALA MULT.800G.; 387 ; 30 ; 155 ;0,03%;#°REF!;jabon
7793360296000 ;BC JUGO MULTIFRUTA X 200 ML; 68 ; 30 ; 19 ;0,03%;#°REF!;jugo
7798077072084 ;ZUKO CERO JUGO P.MANGO 9G; 22 ; 30 ; 10 ;0,03%;#°REF!;jugo
77900067 ;ILOLAY MANTECA X 200 G; 308 ; 30 ; 81 ;0,03%;#°REF!;manteca
7791866003795 ;CADA DIA MOSTAZA X 60 G; 45 ; 30 ; 19 ;0,03%;#°REF!;mostaza
7791813420118 ;PEPSI X 500 CC; 151 ; 30 ; 47 ;0,03%;#°REF!;pepsi
7793940616006 ;SER SALCHICHAS X 171 GRS.; 235 ; 30 ; 62 ;0,03%;#°REF!;salchicha
7790580567101 ;ARCOR TOMATE CUBETEADO X 400 G; 178 ; 30 ; 65 ;0,03%;#°REF!;tomate
7790787110513 ;ILOLAY YOGUR DESC VAIN.FIRME X 200 G; 78 ; 30 ; 20 ;0,03%;#°REF!;yogur
77940629 ;SANCOR BEBE YOGUR VAINILLA X 2; 178 ; 30 ; 38 ;0,03%;#°REF!;yogur
7791337973015 ;SER YOGUR FORTIFICADO X 1 L VAINILLA; 266 ; 30 ; 63 ;0,03%;#°REF!;yogur
7793940333019 ;YOGURISIMO GO VAINILLA X 190 CC; 164 ; 30 ; 35 ;0,03%;#°REF!;yogur
7790520981936 ;BLEM LUSTRA MUEBLE X 400 CM; 494 ; 30 ; 162 ;0,03%;#°REF!;
7613033678196 ;CACAO NESQUIK N/ACTIVE 180G.; 195 ; 30 ; 58 ;0,03%;#°REF!;
7793046007715 ;CORMILLOT MERMELADA DURAZNO X 390G; 263 ; 30 ; 77 ;0,03%;#°REF!;
7791293051130 ;EFFICIENT REXONA X 200 G; 476 ; 30 ; 173 ;0,03%;#°REF!;
7792170002061 ;GATORADE FRUTAS TROPICALES X 473 ML; 278 ; 30 ; 74 ;0,03%;#°REF!;
7702018084821 ;GILLETTE MACH 3 REP 1 UNI.; 473 ; 30 ; 145 ;0,03%;#°REF!;
7793450000128 ;HOJALMAR TRADICIONAL 150 GRS; 110 ; 30 ; 31 ;0,03%;#°REF!;
7794000595385 ;KNORR SOPA CREMA DE CHOCLO X 15 G; 76 ; 30 ; 25 ;0,03%;#°REF!;
;LA LOMA SARDO KG; 1.940 ; 30 ; 797 ;0,03%;#°REF!;
7790310601679 ;LAYS X 85 G; 334 ; 30 ; 60 ;0,03%;#°REF!;
7797470132623 ;MAROLIO PAN RALLADO X 500 G; 114 ; 30 ; 34 ;0,03%;#°REF!;
7622300111922 ;MINI OREO X 50 G; 121 ; 30 ; 42 ;0,03%;#°REF!;
7792799056513 ;NORTE BLANCA X 970; 282 ; 30 ; 69 ;0,03%;#°REF!;
7792319065254 ;NORTON CLASICO TINTO X 750 ML; 525 ; 30 ; 127 ;0,03%;#°REF!;
7798095170250 ;PURISIMA ENTERA EN POLVO X 800 G; 1.010 ; 30 ; 355 ;0,03%;#°REF!;
7793360927805 ;SALSATI SALSA PIZZA DP X 340 G; 182 ; 30 ; 54 ;0,03%;#°REF!;
7790315058492 ;SER LIMONADA POLVO X 12.8G; 48 ; 30 ; 15 ;0,03%;#°REF!;
7798062540291 ;VILLA DEL SUR LEVITE NARANJA X 2.250 CC; 325 ; 30 ; 102 ;0,03%;#°REF!;
7793940877001 ;SER DULCE DE LECHE X 400 G; 332 ; 29 ; 92 ;0,03%;#°REF!;dulce_leche
7795907000385 ;LUCCHETTI FIDEO SPAGHETTI X 500 G; 215 ; 29 ; 56 ;0,03%;#°REF!;fideo
7790360008541 ;LA BLANCA HAMBURGUESA X 2; 121 ; 29 ; 48 ;0,03%;#°REF!;hamburguesa
7793360246609 ;BC JUGO DE NARANJA X 200 ML; 66 ; 29 ; 19 ;0,03%;#°REF!;jugo
7793360473906 ;BC JUGO DURAZNO X 1 L; 183 ; 29 ; 51 ;0,03%;#°REF!;jugo
7791249420850 ;MANTECOL 130G; 388 ; 29 ; 165 ;0,03%;#°REF!;manteca
7790170000742 ;LA MORENITA TE X 25 SAQ.; 50 ; 29 ; 15 ;0,03%;#°REF!;te
7790150696613 ;ALICANTE CALDO P/SABOR VERDURA SIN SAL; 36 ; 29 ; 20 ;0,03%;#°REF!;
7790150025055 ;ALICANTE PIMENTON EXTRA X 25 G; 76 ; 29 ; 35 ;0,03%;#°REF!;
7790040535909 ;AZUCARADAS MARMOLADAS X 80 G; 56 ; 29 ; 17 ;0,03%;#°REF!;
7792389000414 ;BORITA BRISA DE CAMPO X 900; 205 ; 29 ; 84 ;0,03%;#°REF!;
7790770009800 ;CALIPSO C/ALAS X 8 C/FRAGANCIA; 75 ; 29 ; 24 ;0,03%;#°REF!;
77995407 ;CEREAL MIX LIGHT FRUTILLA X 28 G; 87 ; 29 ; 27 ;0,03%;#°REF!;
7793100111143 ;COLGATE TOTAL 12 CLEAN MINT X 90 G; 359 ; 29 ; 130 ;0,03%;#°REF!;
7790940000026 ;DONCELLA ALGODON X 140G; 283 ; 29 ; 101 ;0,03%;#°REF!;
7793890064797 ;FARGO GALLETAS SALVADO LIGHT X 200 G; 131 ; 29 ; 38 ;0,03%;#°REF!;
7791625001420 ;FIBRA ESPONJA OK X UNID; 23 ; 29 ; 10 ;0,03%;#°REF!;
;HOGARE√êA SALVADO X 200 G; 128 ; 29 ; 34 ;0,03%;#°REF!;
7793940651021 ;LA SERENISIMA JUNIOR FRUTILLA X 1 L; 241 ; 29 ; 62 ;0,03%;#°REF!;
7790127000030 ;LA SIERRITA ACEITUNAS X 170 G; 75 ; 29 ; 24 ;0,03%;#°REF!;
7796039001622 ;LEGITIMO ACEITE X 3 L; 871 ; 29 ; 462 ;0,03%;#°REF!;
7790040720503 ;MANA LIVIANAS COCO X 145 G; 114 ; 29 ; 33 ;0,03%;#°REF!;
7790580538002 ;PRESTO PRONTA X 750 G; 244 ; 29 ; 72 ;0,03%;#°REF!;
7790040565203 ;RECETA DE LA ABUELA MINI SCONES X 200 G; 116 ; 29 ; 33 ;0,03%;#°REF!;
7790071090200 ;RIERA TOSTADAS CLASICAS MESA 200 G; 200 ; 29 ; 53 ;0,03%;#°REF!;
77939623 ;SER BARRA CEREAL PATAGONIA 23; 113 ; 29 ; 40 ;0,03%;#°REF!;
77936271 ;SER BARRA FRUTILLA X 23 G; 115 ; 29 ; 42 ;0,03%;#°REF!;
;SERTAL PERLA X UNID; 58 ; 29 ; 23 ;0,03%;#°REF!;
7794060000058 ;SUSARELLI ROJO X 1 KG; 306 ; 29 ; 85 ;0,03%;#°REF!;
7793653001175 ;TORASSO MANZANA X 2500 CM3; 188 ; 29 ; 48 ;0,03%;#°REF!;
7790020000915 ;VIENISSIMA X 10 X 375 G; 508 ; 29 ; 148 ;0,03%;#°REF!;
7794440101702 ;VIRULANA ROLLITOS X 10 U; 186 ; 29 ; 85 ;0,03%;#°REF!;
7790150010426 ;LA VIRGINIA CAFE INST SUAVE X 50 G; 242 ; 28 ; 81 ;0,03%;#°REF!;cafÈ
7798053331068 ;FIDEO RIVOLI PAMPERITO X 500G; 102 ; 28 ; 31 ;0,03%;#°REF!;fideo
7791630000012 ;IRENE FIDEOS DOBLADITOS X 500G; 252 ; 28 ; 63 ;0,03%;#°REF!;fideo
7793940621000 ;LA SERENISIMA LECHE DESC L.V X 1; 241 ; 28 ; 65 ;0,03%;#°REF!;leche
7794000451285 ;HELLMANNS MAYONESA LIGHT X 250 G; 151 ; 28 ; 49 ;0,03%;#°REF!;mayonesa
7791337243811 ;ACTIVIA CIRUELA 0% 2X125G; 191 ; 28 ; 48 ;0,03%;#°REF!;
7790036000466 ;BAGGIO PRONTO MULTIFRUTA NUEVO X 1 L; 188 ; 28 ; 55 ;0,03%;#°REF!;
7791866003344 ;CADA DIA KETCHUP X 250 G; 119 ; 28 ; 38 ;0,03%;#°REF!;
7791337827028 ;DANONINO BEBIBLE FRUTILLA PACK X 4; 347 ; 28 ; 84 ;0,03%;#°REF!;
7790703100321 ;DON VALENTIN LACRADO TINTO X 750 CC; 791 ; 28 ; 205 ;0,03%;#°REF!;
7790580168308 ;GODET GELATINA CEREZA X 100 G; 115 ; 28 ; 33 ;0,03%;#°REF!;
7793450000494 ;HOJALMAR PALMERAS X 150 G; 103 ; 28 ; 29 ;0,03%;#°REF!;
7793100120084 ;KOLYNOS 180G NUEVO; 327 ; 28 ; 110 ;0,03%;#°REF!;
7790150078624 ;LA VIRGINIA BOLDO X 25 SAQ; 126 ; 28 ; 41 ;0,03%;#°REF!;
7790628102639 ;MAURI VAINILLAS X 160 G; 113 ; 28 ; 34 ;0,03%;#°REF!;
7791130026284 ;PROCENEX LAVANDA X 1.8 L; 255 ; 28 ; 83 ;0,03%;#°REF!;
7790040872400 ;TRAVIATAS X 5 X 505 G; 311 ; 28 ; 86 ;0,03%;#°REF!;
;VANOLI ACEITUNA X 1K; 715 ; 28 ; 376 ;0,03%;#°REF!;
7791290001060 ;VIVERE CLASICO X 900 ML 7DIAS; 277 ; 28 ; 90 ;0,03%;#°REF!;
7790080062069 ;YOGS CON TROZOS DE FRUTILLA X 180 G; 176 ; 28 ; 43 ;0,03%;#°REF!;
7790990184684 ;ZORRO BIO CRIST MATIC X 400; 115 ; 28 ; 22 ;0,03%;#°REF!;
7613033521225 ;NESCAFE DOLCA SUAVE RENOV.50G.; 253 ; 27 ; 68 ;0,03%;#°REF!;cafÈ
7790895064173 ;SPRITE X 1500 CC ZERO; 299 ; 27 ; 70 ;0,03%;#°REF!;gaseosa
7791290003682 ;DRIVE JABON P.REGULARTQ.S.800G; 270 ; 27 ; 74 ;0,03%;#°REF!;jabon
7791290002654 ;JABON P.ALA MATIC C/VIVERE 800; 353 ; 27 ; 140 ;0,03%;#°REF!;jabon
7790580985615 ;JUGO P.ARCOR ANANA 25G.; 40 ; 27 ; 16 ;0,03%;#°REF!;jugo
7793940064005 ;LA SERENISIMA LECHE DESLA EN P X 400G; 840 ; 27 ; 178 ;0,03%;#°REF!;leche
7790080066043 ;YOGUR SANCOR FORT FRUT X 190G; 115 ; 27 ; 27 ;0,03%;#°REF!;yogur
7791337423985 ;YOGUR YOGURISIMO VAIN.1.3KG.; 274 ; 27 ; 39 ;0,03%;#°REF!;yogur
;CHORISO COLORADO; 149 ; 27 ; 68 ;0,03%;#°REF!;
7790630001401 ;COLGATE DENTIFRICO MAX PROTEC. X 180 G; 288 ; 27 ; 113 ;0,03%;#°REF!;
7791337530270 ;DANETTE CHOCOLATE SUIZO X 2; 194 ; 27 ; 52 ;0,03%;#°REF!;
7791058000137 ;DULCE D/LECH MANFREY CLAS X250; 137 ; 27 ; 37 ;0,03%;#°REF!;
7793890064704 ;FARGO GALLETAS SALVADO SIN SAL X 225 G; 117 ; 27 ; 31 ;0,03%;#°REF!;
7794000594906 ;KNORR SOPA CREMA DE ESPINACA X 69; 116 ; 27 ; 36 ;0,03%;#°REF!;
7793100120053 ;KOLYNOS SUPER BLANCO X 70G; 126 ; 27 ; 48 ;0,03%;#°REF!;
7793360005084 ;LA CAMPAGNOLA ATUN AL NATURAL X 120 G; 431 ; 27 ; 132 ;0,03%;#°REF!;
7790310924112 ;LAYS 17G.; 80 ; 27 ; 13 ;0,03%;#°REF!;
7790990586136 ;LIMOL JAB AIRES DE PUREZA 3X90G; 169 ; 27 ; 55 ;0,03%;#°REF!;
7506195176726 ;MAGISTRAL MARINA X 300; 263 ; 27 ; 101 ;0,03%;#°REF!;
7790628000133 ;MAURI SALVADO X 400 G; 220 ; 27 ; 66 ;0,03%;#°REF!;
7790990586044 ;PLUSBELLE JAB ENERG 3X125G; 311 ; 27 ; 98 ;0,03%;#°REF!;
77940636 ;SANCOR BEBE MANZANA BANANA X 2; 160 ; 27 ; 34 ;0,03%;#°REF!;
7791293010571 ;SEDAL ACOND BALANC X 300; 352 ; 27 ; 117 ;0,03%;#°REF!;
7791293010717 ;SEDAL ACOND CERAM X 300 ML; 342 ; 27 ; 106 ;0,03%;#°REF!;
77936264 ;SER CEREALES MANZANA X 23 G; 106 ; 27 ; 38 ;0,03%;#°REF!;
7794060000041 ;SUSARELLI AZUL X 500 G; 204 ; 27 ; 74 ;0,03%;#°REF!;
7791337075856 ;VIDACOL MULTI 80 G; 91 ; 27 ; 21 ;0,03%;#°REF!;
7791290783485 ;VIVERE DIA A DIA X 900; 167 ; 27 ; 59 ;0,03%;#°REF!;
;YESI JARRITO PLASTICO; 144 ; 27 ; 63 ;0,03%;#°REF!;
7790080062656 ;YOGS SANCOR BANANA LICUADO X 190 G; 159 ; 27 ; 37 ;0,03%;#°REF!;
7791293017785 ;JABON T.REXONA 3X125G; 291 ; 26 ; 108 ;0,02%;#°REF!;jabon
7790080037180 ;SANCOR LECHE DESCREMADA X 1 L (LARGA VID; 207 ; 26 ; 41 ;0,02%;#°REF!;leche
7793360674105 ;BC MAYONESA X 500 G; 221 ; 26 ; 59 ;0,02%;#°REF!;mayonesa
7791293010793 ;SEDAL SHAMP SOS CREMA X 300ML; 337 ; 26 ; 111 ;0,02%;#°REF!;shampoo
7791290783997 ;ALA SOL REGULAR JAB EN POLVO X 400 G; 147 ; 26 ; 39 ;0,02%;#°REF!;
7790150696446 ;ALICANTE CALDO PANCETA Y HIERBAS X 10 G; 33 ; 26 ; 14 ;0,02%;#°REF!;
7790580980801 ;ARCOR CHOCLO AMARILLO CREMOSO X 350 G; 177 ; 26 ; 50 ;0,02%;#°REF!;
7790580980009 ;ARCOR CHOCLO ENT 310G; 178 ; 26 ; 35 ;0,02%;#°REF!;
7790250041993 ;BABYSEC ULTRA XXG X 8 UNID; 268 ; 26 ; 68 ;0,02%;#°REF!;
7790828103405 ;GIGANTE ANTIB X 750 CC AMANECE; 139 ; 26 ; 23 ;0,02%;#°REF!;
7790045823452 ;GRANIX FRUTIGRAN TROPICAL X 250 G; 205 ; 26 ; 55 ;0,02%;#°REF!;
7790045001768 ;GRANIX TRIGALITAS X 120 G; 78 ; 26 ; 20 ;0,02%;#°REF!;
7793890032215 ;LACTAL PASCUALINA HOJALDRE X 390 G; 200 ; 26 ; 56 ;0,02%;#°REF!;
7790520986801 ;LYSOFORM DES AEROSOL BEBE X 360 G; 371 ; 26 ; 115 ;0,02%;#°REF!;
7613033489891 ;MAGGI PURE DE PAPAS X 125 G; 144 ; 26 ; 34 ;0,02%;#°REF!;
7792180003010 ;MAMA COCINA PAN RALLADO X 500 G; 110 ; 26 ; 33 ;0,02%;#°REF!;
7797470129906 ;MAROLIO PURE DE PAPAS X 125 G; 138 ; 26 ; 46 ;0,02%;#°REF!;
7506195153635 ;PILAS DURACELL AAA 2 UNI; 245 ; 26 ; 82 ;0,02%;#°REF!;
7791293010748 ;SEDAL SH CERAMIDAS NUEVO X 200; 272 ; 26 ; 122 ;0,02%;#°REF!;
7798062547559 ;VILLA DEL SUR AGUA X 2250 CC; 169 ; 26 ; 49 ;0,02%;#°REF!;
7790080064063 ;YOGS FORTIFICADO VAINILLA X 1 L; 236 ; 26 ; 52 ;0,02%;#°REF!;
7798053332058 ;FIDEO RIVOLI TIRABUZON X 500G; 93 ; 25 ; 29 ;0,02%;#°REF!;fideo
7791290002418 ;JABON P.ALA MATIC SOL 400G; 142 ; 25 ; 43 ;0,02%;#°REF!;jabon
7791293018232 ;LUX JABON T TENT.DE PERA 125G.; 119 ; 25 ; 43 ;0,02%;#°REF!;jabon
7622300628420 ;JUGO P.TANG DURAZNO 25G.; 42 ; 25 ; 12 ;0,02%;#°REF!;jugo
7793940560064 ;JUNIOR JUGO D.D.L.200ML.; 96 ; 25 ; 25 ;0,02%;#°REF!;jugo
7798077072060 ;ZUKO CERO JUGO POLVO PERA 9G; 19 ; 25 ; 8 ;0,02%;#°REF!;jugo
7794000451391 ;HELLMANNS LIGHT MAYONESA X 125 CM3; 72 ; 25 ;-46 ;0,02%;#°REF!;mayonesa
7791620001968 ;DANICA MOSTAZA X 60 G; 45 ; 25 ; 15 ;0,02%;#°REF!;mostaza
;LA PAULINA QUESO BARRA X K; 1.306 ; 25 ; 531 ;0,02%;#°REF!;queso
7506195142035 ;HEAD & SHOULDERS SHAMPOO RELAX X 200 ML; 386 ; 25 ; 123 ;0,02%;#°REF!;shampoo
7790040667204 ;CEREAL MIX GALLETA C/ AVENA Y PASAS 230; 174 ; 25 ; 51 ;0,02%;#°REF!;
7790580256418 ;COFLER OBLEA 35G.; 75 ; 25 ; 26 ;0,02%;#°REF!;
6910021007206 ;COLGATE CEPILLO DENTAL PREMIER ULTRA; 129 ; 25 ; 58 ;0,02%;#°REF!;
7791058000830 ;DULCE DE L.G.DE ORO 250G.; 117 ; 25 ; 37 ;0,02%;#°REF!;
7793046008699 ;DULCOR FRUTILLA LIGHT X 420 G; 166 ; 25 ; 52 ;0,02%;#°REF!;
7791625005817 ;ECOOO FRANELA CHICA EXTRALIMP; 239 ; 25 ; 108 ;0,02%;#°REF!;
7792170002016 ;GATORADE NARANJA X 473 ML; 233 ; 25 ; 63 ;0,02%;#°REF!;
7790828102491 ;GIGANTE LAVAVAJILLA ALOE VERA X 750 CC; 131 ; 25 ; 42 ;0,02%;#°REF!;
7790045001751 ;GRANIX TRIGALITAS CEREAL X 185 G; 99 ; 25 ; 50 ;0,02%;#°REF!;
7794000594647 ;KNORR CALDO DE VER X 6; 154 ; 25 ; 58 ;0,02%;#°REF!;
7794000511118 ;KNORR SOPA CREMA DE ESPARRAGOS X 68.5 G; 110 ; 25 ; 35 ;0,02%;#°REF!;
7790628000034 ;MAURI FAUNA X 400 G; 182 ; 25 ; 62 ;0,02%;#°REF!;
7791093000017 ;MICHEL TORINO SUC. ABEL SELEC. TINTO X 7; 184 ; 25 ; 56 ;0,02%;#°REF!;
7798106150028 ;MORA DURAZNOS X 820 G; 250 ; 25 ; 66 ;0,02%;#°REF!;
7790580387006 ;SALADIX PIZZA X 30 G; 59 ; 25 ; 19 ;0,02%;#°REF!;
7796551000059 ;SAN IGINIO ALCOHOL X 250 CC PLASTICO; 141 ; 25 ; 53 ;0,02%;#°REF!;
7790080040319 ;SANCOR FLAN CASERO 2 X 120 G DULCE DE LE; 244 ; 25 ; 57 ;0,02%;#°REF!;
7791293010427 ;SEDAL SH CREC FORT NUEVO X 200; 253 ; 25 ; 109 ;0,02%;#°REF!;
7793653000062 ;TORASSO POMELO AMARILLO 2.25LT; 160 ; 25 ; 43 ;0,02%;#°REF!;
7793046085058 ;TURRON MANICOL 100G; 101 ; 25 ; 41 ;0,02%;#°REF!;
7790070708496 ;VIENISSIMA LIGHT X 6 UNDS; 249 ; 25 ; 76 ;0,02%;#°REF!;
7790990184707 ;ZORRO JAB EN POL MATIC BIO CRIS X 400 G; 102 ; 25 ; 19 ;0,02%;#°REF!;
7793593000061 ;DEL JARDIN AZUCAR X 1 KG; 159 ; 24 ; 32 ;0,02%;#°REF!;azucar
7613033521249 ;NESCAFE DOLCA SUAVE X 170 G; 585 ; 24 ; 177 ;0,02%;#°REF!;cafÈ
;FIDEO RIVOLI MO√êO CHICO X 500G; 114 ; 24 ; 31 ;0,02%;#°REF!;fideo
7791290003705 ;DRIVE JABON P.MATIC 800G.; 219 ; 24 ; 77 ;0,02%;#°REF!;jabon
7791290002272 ;JABON P.SKIP PR.MATIC 800G; 456 ; 24 ; 145 ;0,02%;#°REF!;jabon
7791620001272 ;DANICA MAYONESA FIESTA X 250 G; 99 ; 24 ; 32 ;0,02%;#°REF!;mayonesa
7794000957534 ;RI-K MAYONESA X 250G; 78 ; 24 ; 25 ;0,02%;#°REF!;mayonesa
7797470001974 ;MAROLIO YERBA MATE X 50 SAQ; 214 ; 24 ; 63 ;0,02%;#°REF!;yerba
7790787110568 ;ILOLAY YOGUR DEC.VITA FRUTILLA X 1 L; 162 ; 24 ; 39 ;0,02%;#°REF!;yogur
;3 ARROYOS MED POLLO X K; 825 ; 24 ; 290 ;0,02%;#°REF!;
7590002012239 ;ACE MINIESPUMA ACTIBLU X 800 G; 313 ; 24 ; 79 ;0,02%;#°REF!;
7791290785052 ;ALA PLUS LAVAVAJILLAS 750 ML; 152 ; 24 ; 41 ;0,02%;#°REF!;
7790170009066 ;ALICANTE PIMIENTA BLANCA MOLIDA SELEC 25; 132 ; 24 ; 50 ;0,02%;#°REF!;
7501007488141 ;ALWAYS BASICA C/ALAS X 8; 128 ; 24 ; 43 ;0,02%;#°REF!;
7793253300081 ;AYUDIN CANASTA VERDE X 16G; 185 ; 24 ; 66 ;0,02%;#°REF!;
;CA√êUELAS GIRASOL X 900 ML; 258 ; 24 ; 144 ;0,02%;#°REF!;
7791337371002 ;CASANCREM CLASICO X 320 GR; 319 ; 24 ; 86 ;0,02%;#°REF!;
7790580256517 ;COFLER OBLEA 2; 72 ; 24 ; 25 ;0,02%;#°REF!;
7790040262102 ;DESFILE LIA X 400 G; 168 ; 24 ; 46 ;0,02%;#°REF!;
7791290003743 ;DRIVE REGULAR ATARD 800G; 223 ; 24 ; 63 ;0,02%;#°REF!;
;DULCOR BATATA C/CEREZA X K; 390 ; 24 ; 151 ;0,02%;#°REF!;
7793890013351 ;FARGO LIVIANO X 440 G; 306 ; 24 ; 83 ;0,02%;#°REF!;
7790590000094 ;FOSFOROS TRES PATITOS X400; 156 ; 24 ; 78 ;0,02%;#°REF!;
7797470003770 ;GALL.MAROLIO SALVADO 200G.; 93 ; 24 ; 26 ;0,02%;#°REF!;
7790045823445 ;GRANIX GALLETA CEREAL X 185 G; 93 ; 24 ; 35 ;0,02%;#°REF!;
7793450000159 ;HOJALMAR LA LARGUITA 150 GRS; 88 ; 24 ; 25 ;0,02%;#°REF!;
7794270601120 ;KEKSY GELATINA CEREZA X 120 G; 66 ; 24 ; 24 ;0,02%;#°REF!;
7794000594869 ;KNORR SOPA CREMA DE ARV LIGH X 46; 145 ; 24 ; 45 ;0,02%;#°REF!;
7794000517110 ;KNORR SOPA CREMA DE QUESO X 77.5 G; 105 ; 24 ; 33 ;0,02%;#°REF!;
7794000533110 ;KNORR SOPA CREMA DE ZAPALLO X 69 G; 122 ; 24 ; 41 ;0,02%;#°REF!;
;LA ESPA√êOLA TRIGO PELADO X 500 G; 62 ; 24 ; 17 ;0,02%;#°REF!;
7790170008199 ;LA MORENITA MANZANILLA X 20 UND; 61 ; 24 ; 21 ;0,02%;#°REF!;
;LA TUCUMANITA √ëOQUIS 500G.; 269 ; 24 ; 90 ;0,02%;#°REF!;
7793890031829 ;LACTAL TAPA P/ EMPANADAS HORNO X 340 G; 141 ; 24 ; 41 ;0,02%;#°REF!;
7796613057335 ;M&K GALL SANDW X 330G; 91 ; 24 ; 24 ;0,02%;#°REF!;
;MAMA COCINA PREMEZCLA √êOQUIS X 500 G; 197 ; 24 ; 54 ;0,02%;#°REF!;
7792180003034 ;MAMA COCINA REBOZADOR X 500G; 103 ; 24 ; 31 ;0,02%;#°REF!;
