"Emisión: 31/10/12 12:51:54
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUL' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"LINA PROT PERF X 20",218.4104,56,75.6104,379
"BAYASPIRINA BAYER X UNID",16.7,55,6.8,384
"ODOL X 90G NUEVO",260.31457,55,88.71457,384
"JUGO P.INCA LIMON 30G",67.1728,55,17.1228,384
"ILOLAY YOGUR ENTERO VAIN.FIRME X 200 G",143.17,55,41.97,384
"CACHAMATE YERBA X 500 G",667.63373,55,226.11373,384
"ADES ANANA X 1 L",352.28,54,95.24,389
"CACHAMATE YERBA ROSA X 500 G",654.94991,54,216.28991,389
"FARGO TAPAS PARA EMPANADA HORNO X 453 G",434.31,54,128.67,389
"SER JUGO ANANA TROPICAL 7.5 G",86.96,54,27.52,389
"ZUKO JUGO.P.UVA 25 G",40.48175,54,17.80175,389
"SERENITO COMBINADO X 130 G (VAINILLA DCE",264.74,54,68.18,389
"PATY HAMBURGUESAS EXPREESS X 276 G",846.22,54,272.74,389
"KNORR SOPA CREMA DE CHOCLO X 69 G",264.17236,54,101.43236,389
"GILLETTE PRESTOBARBA ULTRAGRIP MOVIL X U",325.68,54,142.62,389
"FIDEO RIVOLI PAMPERO X 500G",198.30864,54,60.06864,389
"ALA JABON  C/VIVERE CLASICO X 400 G",302.23081,54,94.87081,389
"BC MAYONESA X 250 CC",193.57965,53,55.59965,400
"CINDOR LA COPA X 100 G",306.06376,53,79.75376,400
"EFFICIENT REXONA X 100 G",506.03348,53,206.58348,400
"YOGUR MANFREY C/TROZOS DE FRU",126.67,53,36.57,400
"TARAGUI YER.MAT.C/P.(4FLEX)500",631.67083,53,181.46083,400
"SAL FINA DOS ANCLAS ESTUCHE X 500 G",126.98899,53,25.22899,400
"MIRINDA X 2250 CC MANZANA",689.59515,53,159.59515,400
"JUGO P.INCA MANZANA 30G",65.3,53,17.07,400
"INCA JUGO DURAZNO LIGHT 10 G",64.08298,53,25.92298,400
"FARGO TAPAS P/PASCUALINA DE HOJ X 2",501.43,53,146.33,400
"DANETTE DULCE DE LECHE 2 X 100 G",375.32184,53,99.13184,400
"ILOLAY DULCE DE LECHE CLA X 400 G",478.73179,52.00001,128.25179,411
"BAGGIO PRONTO DURAZNO JUNIOR X 125 ML",80.52226,52,24.88226,412
"CACAO NESQUIK N/ACTIVE 180G.",325.36,52,93.56,412
"CHEMBRA VINO 1250 PATERO",728.95207,52,178.97207,412
"SPEED ENERGY DRINK X 250 CC",343.85,52,117.65,412
"MAROLIO PICADILLO X 90 G",134.19,52,40.07,412
"LA SERENISIMA LECHE ENTERA L.V. X 1 L",411.72421,52,84.64421,412
"GIGANTE JABON EN PAN X 200 G",169.32703,52,56.34703,412
"PALADINI PICADA ESPECIAL X KG",1314.85779,51.61501,592.24763,419
"ALICANTE CALDO P/SAB CARNE X 10",63.85552,51,25.60552,420
"PAMPERS BABYSAN X 10 UNID (M)",565.6888,51,145.3088,420
"SANCOR BEBE 2 X 250 CM3",315.97,51,62.68,420
"SANIDAD PH BLANCO X 4 X 30 M",362.18599,51,112.79599,420
"LA SERENISIMA LECHE P/DESC BOT L.V X 1L",456.35,51,99.05,420
"LA MORENITA MATE COCIDO  X 50 SAQ",321.28,50,99.78,425
"MANA RELLENAS FRUTILLA X 165 G",253,50,70,425
"YOGURISIMO FIRME ENT VAINILLA X 200 FORT",192.47662,50,38.32662,425
"SWIFT GRASA X 500 G",533.64071,50,211.14071,425
"POLVORITA FRUTILLA X 80 G",74.43744,50,21.93744,425
"MAROLIO PALILLERO X 100 UNDS",153.5551,50,60.0551,425
"LA SERENISIMA CREMA DOBLE X 200 G",350.69,50,84.69,425
"LA SERENISIMA DESLAC. DESC X 500 CC",294.61682,49.99998,66.11689,432
"CHEETOS X 38 G",245.7,49,42.35,433
"JUGO P.ARCOR LIMONADA 25G.",73.22726,49,28.63726,433
"JUGO P.ARCOR NARANJA DUR.25G",76.35784,49,31.76784,433
"MANFREY ENT.FRUTILLA",117.27,49,35.08,433
"YOGS SANCOR C/CEREALES X 170 G",322.91,49,65.66,433
"MAROLIO GALLETAS SURT X 360G",226.6,49,66.86,433
"M&K LAVANDINA 1 LT.",164.67772,49,53.93772,433
"FIDEO RIVOLI MOÐO MEDIANO X 500G",220.43818,49,64.35818,433
"FAVORITA RAVIOLES RICOTA X 500",518.23,48.00001,149.82999,441
"ACE JAB EN POL REGULAR X 400 G",272.99198,48,81.47198,442
"JABON T.REXONA NUTRITIVA 125G",191.99122,48,67.67122,442
"ILOLAY MANTECA X 100 G",261.8812,48,75.1612,442
"FIDEO RIVOLI PAMPERITO X 500G",176.11958,48,53.23958,442
"FELA SALCHICHA X 6 UNDS",278.94488,48,99.42488,442
"FAVORITA RAVIOLES RICOTA VERDURA X 500",514.04,48,145.41,442
"FANTA X 2250 CC NARANJA",604.324,48,124.324,442
"DANICA FIESTA MAY X 100 CM3",82.08,48,24,442
"COLGATE CEPILLO DENTAL PREMIER ULTRA",236.94781,48,106.86781,442
"VIRULANA ESPONJA C/FIBRA MULTIUSO",144.23409,48,65.03409,442
"SER YOGUR COLCHON DE FRUT,ARAND,GR X 190",336.36592,48,78.56588,442
"OBLITA MIX FRUTAL 96G.",133.17,48,29.97,442
"NIDO X 400 G",1077.50814,48,302.91814,442
"MOGUL TORTUGUITA 25G",98.31,48,36.47,442
"MANTECA MANFREY CALIDAD EXTRA",435.0466,48,132.8066,442
"BORA DETERG X 135 CC",121.27,48,40.15,442
"ALICANTE COMINO MOLIDO X 25 G",200.98073,48,75.22073,442
"ACTIVIA CIRUELA 0% 2X125G",318.19,47,77.55,459
"SANCOR MANTECA CLASICA X 100 G",307.11447,47,90.44447,459
"SPRITE X 2250 CC",595.78,47,125.78,459
"RIERA TOSTADAS C/GLUTEN DULCES X 200 G",372.41,47,97.93,459
"KNORR SOPA CAS POLLO Y CAB ANGE + FID",200.93,47,68.4,459
"LA MORENITA CAFE  X 20 UNDS",599.37609,47,189.53609,459
"ALICANTE CALDO P/SABOR VERDURA SIN SAL",59.94,47,33.15,459
"POZO MADALENAS X 250 G",297.08958,47,80.88958,459
"COCA COLA X 2250 CC",625.304,47,158.664,459
"COFLER BLOCK X 38 G",181.74986,46.99996,72.10994,468
"COLGATE DENTIFRICO MAX PROTEC. X 180 G",473.09626,46,160.75626,469
"ZORRO BIO CRIST 800G SAUV",392.43299,46,127.01299,469
"TIA MARUCA MARUQUITAS FRUTILLA X 200 G",289.95904,46,78.35904,469
"SERENITO ERA HIELO 114 G",317.86,46,81.88,469
"SER JUGO NARANJA DULCE X 10.4 G",74.24,46,23.47,469
"PLUSBELLE SH CREME X 1 LTS",508.46264,46,151.96264,469
"ODOL NUEVO X 180G",323.02681,46,107.74681,469
"M/NARANJA TRAPO DE P GRIS 50X6",226.85267,46,75.05267,469
"LAYS  X 85 G",483.08,46,85.98,469
"LA SERENISIMA GRIEGO FRUTILLA X 100",219.89,46,49.27,469
"HOJALMAR SNACK MATERO AZUC X 180 G",146.04,46,41.85,469
"GELATINA SHIMY NESTLE FRUTILLA X 110 G",167.76212,46,38.04212,469
"FARGO RAVIOLES POLLO X 500 G",826.8,46,236.98,469
"LA CAMPAGNOLA PURE TOMATE 520G",160.95006,45.00003,43.50003,482
"LA HOJA YERBA X 500 G",432.20402,45.00001,89.30396,483
"ALA REGULAR 800G",580.23842,45,176.13842,484
"LA VIRGINIA CAFE INST SUAVE X 50 G",382.10536,45,123.35536,484
"MAIZENA X 200 G",135.71042,45,37.61042,484
"LA TUCUMAN.TAPA EMPANADAS X25U",276.97568,45,79.57568,484
"JABON T.REXONA MENTA FRESH 125",183.21403,45,66.66403,484
"JUGO CEPITA MULTIFRUTA 200ML.",89.55,45,29.69999,484
"ALFAJOR B&N TRIPLE 73.5G",180,45,51.3,484
"DULCYPAS BIZCOCHOS SALA.200G.",134.38,45,46.72,484
"DULCE DE L.GRANJA DE ORO 400G",285.96052,45,75.46052,484
"COLGATE TOTAL 12 CLEAN MINT X 90 G",429.30141,45,150.30141,484
"PALADINI JAMON COCIDO X KG",3392.16815,44.895,1469.76386,494
"COCA COLA X 1500 CC DESC",485.10007,44.00001,100.10001,495
"ARCOR TOMATE CUBETEADO X 400 G",255.78,44,86.06,496
"BAGGIO PRONTO DURAZNO X 1L",286.47,44,77.47,496
"LA ESPAÐOLA TRIGO PELADO X 500 G",115.03999,44,32.31999,496
"PENNISI CAB EN ACEITE 380G",518.82039,44,149.27039,496
"ZORRO BIO CRISTALES X 800 G REG",354.68833,44,100.80833,496
"SER YOGUR COLCHON DE FRUTAS X 190 G (FRU",305.00672,44,75.85672,496
"PALADINI PICADILLO DE CARNE X 90 G",153.30812,44,48.14812,496
"DELICIA MARGARINA MOLINOS X 200 G",214.86,44,65.62,496
"FARGO GALLETA AGUA X 175 G",184.6,44,49.04,496
"CEREAL MIX GALLETA C/ SEMILLASY CHIPS 23",295.84,43,84.28,505
"M&K LENTEJA X 400 G",109.95,43,43.3,505
"ILOLAY DULCE DE LECHE X 200 G",222.43221,43,62.49221,505
"COLGATE DENTIFRICO SABOR ORIG. X 90 G",285.32072,43,96.98072,505
"PROCENEX LAVANDA LIMPIADOR 3 EN 1 X 900",195.59,43,58.85,505
"HIGIENOL EXPORT 4 X 40",281.60607,43,87.24607,505
"HIGIENOL MAX 4 ROLLOS X 80 METROS",676.92,43,286.11,505
"FELA FIAMBRE EMP. X KG",1800.52545,42.91999,786.29302,512
"7UP X 2250 CC",552.83034,42,132.83034,513
"ZUKO JUGO UVAS BLANCAS",31.59175,42,13.95175,513
"ZORRO JAB EN POL MATIC BIO CRIS X 400 G",169.4,42,29.96,513
"TANG JUGO NARANJA DURAZNO X 25 G",67.22,42,19.98,513
"PREFERIDO REBOZADOR X 500 G",232.45792,42,85.87792,513
"MANA LIVIANAS LECHE X 145 G",164.9,42,47.72,513
"LAYS X 150 G",582.9,42,98.7,513
"LA SERENISIMA DULCE DE LECHE COLONIAL X",358.98949,42,92.27949,513
"JABON P.ALA MATIC C/VIVERE 800",537.58,42,160.42,513
"GALL.TIA MARUCA ARROZ 150G.",380.77,42,103.57,513
"DANETTE CREMA AMERICANA X 2",297.06897,42,78.57897,513
"CEREAL MIX GALLETA C/ AVENA Y PASAS 230",288.96,42,82.32,513
"AYUDIN LAVANDINA MAXIMA PUREZA X 1L",178.67,42,48.89,513
"LA LOMA CREMOSO PROMO",1198.7862,41.67501,328.627,526
"IRENE FIDEOS DOBLADITOS X 500G",348.94034,41,89.30034,527
"JUGO P.TANG NJA.-BAN.25G.",65.40823,41,19.10823,527
"MEDIA TARDE X 330 G  3 UNID",197.44,41,55.59,527
"KNORR SOPA CREMA DE ZAPALLO X 69 G",199.99234,41,66.80234,527
"JUGO CEPITA MANZANA T-B 200CC",81.59,41,27.06,527
"FARGO GALLETAS AGUA LIGHT X 185 G",168.52016,40.00004,45.22004,532
"BIO L.CASEI FRUTILLA X 95G",130,40,30,533
"HOGAREÐA SALVADO X 600 G",431.6,40,104.8,533
"DANONINO BEBIBLE VAINILLA X 200 G",239.0451,40,59.4451,533
"CALIPSO PROTECTORES ANATOMICOS X 20 UNID",141.94101,40,47.94101,533
"TANG JUGO MANZANA X 35 G",60.87728,40,16.87728,533
"PAN HAMB.FARGO C/S.216G 4UN",311.2474,40,81.1574,533
"ALWAYS BASICA C/ALAS X 8",203.18129,39,70.25129,539
"BABYSEC CLASICO C/BARR G X 9",294.83464,39,77.02464,539
"CEREAL MIX LIGHT DURAZNO X 23 G",117,39,36.27,539
"CEREAL MIX LIGHT MANZANA X 23 G",117.84,39,37.11,539
"YOGS YOGUR ENTERO VAINILLA X 2 UNID",194.99139,39,37.43139,539
"VILLA RICA BICARBONATO X 20 G",30.81,39,19.89,539
"POSTRE MANFREY DDL 120G.",77.61,39,41.34,539
"M&K DURAZNO X 820G",256.93046,39,-5.14954,539
"LA SERENISIMA LECHE DESLA EN P X 400G",1208.61,39,253.11,539
"JABON PLUSBELLE CREMOSO 140G",186.56999,39,59.42999,539
"GODET CHOCOLATE FAMILIAR X 100 G (TAZA)",322.4,39,108.4,539
"CHICLES BELDENT MENTA FUERT",79.22232,39,14.48232,539
"BOLSA 3.50 PESOS",138.46,39,38.23,539
"AYUDIN COLORES VIVOS X 220 ML",164,39,53.63,539
"ALWAYS PROT.DIA. SEGURA 18UN.",304.65,39,106.84,539
"SER CEREALES MANZANA X 23 G",154.3,39,55.63,539
"JUGO ADES DE PERA 1LT.",254.9299,38.99999,58.36997,555
"BON O BON POSTRE 38G",111.75,38,37.35,556
"KNORR SOPA CREMA DE POLLO X 75 G",188.41128,38,72.35128,556
"MENTHO PLUS CHERRY",76,38,21.66,556
"YOGS CREMOSO DURAZNO  2 X 125 G",201.42223,38,41.06223,556
"PREFERIDO PAN RALLADO X 500 G",208.62,38,90.82,556
"MAROLIO VINAGRE ALC X 1000 CC",191.53996,38,53.59996,556
"JABON P.ALA VIVERE MATIC 400G.",212.79596,38,61.55596,556
"GIGANTE JABON EN PAN X 200G",127.19,38,44.47,556
"FICEO RIVOLI MOÐO GRANDE X 500G",169.66425,37.99999,48.34425,564
"SABROSITOS ALIMENTO P/PERRO MIX K",269.61502,37.95,94.66552,565
"ECO ESPONJA FIBRA PULE",71.09692,37.00001,28.91692,566
"BAGGIO DURAZNO X 200 CC NUEVO",84.13658,37,24.56658,567
"FIDEO RIVOLI MOSTACHO X 500G",134.33,37,39.61,567
"ILOLAY CREMA DE LECHE X 200 G",256.78244,37,70.30244,567
"JUGO P.ARCOR ANANA 25G.",56.18,37,22.51,567
"SERENITO FLAN PACK X 2   105 G",170.56594,37,40.69594,567
"SER YOGUR BEBIBLE DURAZNO CALCIO X 190 G",240.87,37,51.06,567
"PRITTY LIMON X 2250 CC",361.27,37,95.68,567
"JABON T.REXONA SEN.FRESH 125",148.75,37,52.92,567
"FORMIS CHOCOLATE X 108 G",144.85,37,44.21,567
"CEREALITAS CLASICAS 194G",203.9,37,52.20001,567
"CEPITA MULT FRUTA X 1 L",212.65,37,57.98,567
"TANG JUGO ANANA X 25 G",59.48993,36.99995,17.82998,578
"ACTIVIA SACHET FRUT, MANZ X 750 CC",355.83,36,74.67,579
"SPRITE X 500 CC",178.79341,36,29.03341,579
"SPRITE X 1500 CC ZERO",388.51,36,88.63,579
"SIEMPRE LIBRE ESPECIAL S/ALAS X 8",124.63619,36,41.83619,579
"SERENITO CHOCO BOMBAS X 118G",250.7,36,66.02,579
"PLUSBELLE JABON ENERGIZA 140G",173.06462,36,55.70462,579
"LA SERENISIMA DESLACTO ULTRA X 500 CC",212.08,36,50.8,579
"KNORR SOPA CREMA DE ARVEJAS CON JAMON X",176.41,36,66.49,579
"GRANIX FRUTIGRAN C/AVENA Y PASAS X 500 G",436.48664,36,156.97664,579
"GODET FLAN VAINILLA X 65 G",104.44328,36,29.58328,579
"FIBRALIMP ESPONJA",36.25346,36,16.81346,579
"FANTA X 500 CC NARANJA",179.64,36,29.88,579
"DON YEYO RAVIOLES ESPIN POLLO X 500 G",529.24,36,150.06,579
"BORITA SUAV VIOL X 900 CC",253.50276,36,108.74275,579
"BC JUGO MULTI X 1 L",217.40001,35.99999,58.84002,593
"EL BIERZO MORTADELA BOCHA X  KG",1526.057,35.78,637.68492,594
"3 ARROYOS PIERNA/MUSLO POLLO X K",787.57167,35.66,413.83287,595
"PALADINI MORTADELA KG",2053.30245,35.33,904.66912,596
"BC JUGO DURAZNO X 1 L",207.91004,35.00001,51.92001,597
"RECETAS DE LA ABUELA BIZC AZUC X 200 G",141.33003,35.00001,42.28001,597
"AZUCARADAS VAINILLA X 80 G",66.77,35,20.22,599
"PEHUAMAR MANI PELADO X 100 G",261.97,35,85.37,599
"NATURA MAYONESA X 250 G",148.2683,35,41.1683,599
"MAURI VAINILLAS X 320 G",267.16704,35,80.96704,599
"LUX JABON T. REFRESCATE 125G.",167.57494,35,60.28494,599
"LUCCHETTI FIDEO TALLARINES X 500 G",252.02324,35,66.73324,599
"KOLYNOS NUEVO X 90G",237.90526,35,84.60526,599
"KOLYNOS 180G NUEVO",387.35481,35,132.55481,599
"JABON P.ALA MATIC MULTIA.400G.",196.43,35,51.18,599
"GILLETTE PRESTOBARBA 3 X UNID",284.13,35,87.78,599
"YOGUR MANFREY ENT.VAINILLA X",84.11612,35,25.39612,599
"YOGS FORTIFICADO FRUTILLA X 1 L",306.1858,35,61.2658,599
"TIC TAC NARANJA X 16 G",87.85,35,30.1,599
"SOLITAS PEPAS X 1 K",458.29,35,146.89,599
"PEPSI X 500 CC",175.35,35,53.9,599
"FELA HAMBURGUESA X 228 G",321.3,35,126,599
"CUMANA ATUN DES ACEITE Y AGUA X 170G",180.25,35,59.85,599
"LA LOMA BARRA KG",1753.054,34.53499,736.46418,616
"KNORR SOPA CAS GALLINA + FIDEOS X 92.5",147.97926,34.00001,52.87923,617
"VILLAVICENCIO AGUA MINERAL X 1.500 CM3",176.96003,34.00001,51.08001,617
"CITRIC NARANJA X 250 ML",92.9,34,24.56,619
"FANTA X 1500 CC NARANJA",366.74326,34,83.52326,619
"ESENCIAL VELAS 4X205MM",142.36,34,47.84,619
"KNORR CALDO DE VER X 6",195.34261,34,56.98261,619
"SPRITE X 1500 CC",366.78432,34,83.56432,619
"SER BARRA CEREAL PATAGONIA 23",132.61087,34,46.59087,619
"SANCOR LECHE DESCREMADA X 1 L (LARGA VID",271.41,34,55.17,619
"SANCOR FLAN CASERO LIGHT 2 X 120 G",315.86,34,71.74,619
"PAN P.PANCHOS FARGO 216G",262.27,34,70.19,619
"MAYO.HELLMANNS R.LIV.125CM",82.58,34,25.12,619
"LA SERENISIMA LECHE DESC  L.V X 1",287.96,34,74.1,619
"LA MORENITA BOLDO X 20 UNID",119.63093,34,43.13093,619
"ILOLAY LECHE EN POLVO X 800 G",1103.57,34,272.61,619
"YOGUR.ACTIMEL.VAINILLA.6X100G",490.03,34,73.03,619
"SUSARELLI AZUL X 500 G",236.77042,34,85.52042,619
"GRACIELA REAL 000 X 5 K",563.70959,34,147.32959,619
"GELATINA SHIMY NESTLE MANZANA X 110 G",124.12499,34,28.24499,619
"FAVORITA FIDEO TALLARINES X 500 G",143.36092,34,40.68092,619
"QUAKER AVENA TRADICIONAL X 400 G",266.86689,33.99999,120.40689,637
"BAHIA SARDINA AC/AGUA X 125G",326.99689,33.00003,182.12677,638
"CRIOLLITAS ORIGINAL X 300 G",200.19002,33.00001,55.32,639
"AYUDIN LAVANDINA CONC X 1 LTS",159.61227,33,52.69227,640
"CACAO NESQUIK 360G",417.23,33,98.12,640
"ZUKO CERO JUGO P. NARANJA 9G",24.77967,33,10.91967,640
"YOGUR MANFREY C/TROZ.DUR",82.87,33,25.81,640
"VILLA RICA BOLDO X 25 SAQ",151.95,33,61.86,640
"SYLVANIA LAMPARA BAJO CONS.15W",430.49,33,101.15,640
"SANCOR CREMA DE LECHE X 200 G",244.9,33,52.18,640
"MAURI VAINILLAS X 160 G",130.02111,33,39.27111,640
"M&K YERBA X 500G",268.19759,33,74.48759,640
"LACTAL TAPA P/ EMPANADAS HORNO X 340 G",185.79,33,53.46,640
"LA ESPAÐOLA AVENA ARROLLADA X 500 G",113.28,33,31.44,640
"ECOOO FRANELA CHICA EXTRALIMP",315.88556,33,143.62556,640
"DUAREN ACEITUNAS X 220 G",83.57,33,20.21,640
"CASANCREM CLASICO X 320 GR",443.96755,33,101.64755,640
"SANCOR BARRA KG",2329.23319,32.585,878.79447,654
"PLUSBELLE AC BAMBU X 1000",353.22,32.00001,105.22,655
"ROSAURA ROSQUETES",136.38004,32.00001,136.06004,655
"BABYSEC CLAS.XXG 8U.",244.77,32,64.69,657
"BAGGIO PRONTO MULTIFRUTA NUEVO X 1 L",205.36696,32,53.96696,657
"ESENCIAL TEXTURADO 4X30",207.90932,32,68.70932,657
"FARGO ÐOQUIS 500 G NUEVO",367.48,32,104.48,657
"KNORR SOPA CASERA DEDALITOS X 73 G",136.86677,32,44.38677,657
"SER YOGUR FIRME VAINILLA X 195 G",150.74,32,34.58,657
"SECAPISOS SACCHI N¬40",717.89,32,206.84,657
"SAN IGINIO ALCOHOL  X 250 CC PLASTICO",176.45,32,55.77,657
"POETT LIMPIADOR LIQUIDO LAVANDA X 900 CC",156.63,32,47.19,657
"PLUSBELLE SH BAMBU X 1 LTS",352.05,32,104.05,657
"PLUSBELLE JABON CERAMIDA 140G",152.56448,32,48.24448,657
"PALADINI SALCHICHAS X 12 UNDS",594.83,32,193.55,657
"OK ESPONJA SALVA UÐAS",38.88762,32,16.80762,657
"MICHEL TORINO SUC. ABEL SELEC. TINTO X 7",233.34,32,68.86,657
"LUCCHETTI FIDEO SPAGHETTI X 500 G",223.88,32,58.08,657
"KNORR SOPA VEG Y LETRAS + FID X 88.5G",136,32,46.16,657
"ZUKO CERO JUGO NAR.ANA 9G",24.22,32,10.78,657
"TARAGUI TE  X 50 SAQ",160.38,32,44.22,657
"SOPA ALICANTE C/VERD/FID. 72G.",163.7,32,82.74,657
"KINDER HUEVO X 20 G",224,32,71.04,657
"BLEM LUSTRA MUEBLE X 400 CM",514.54,32,150.38,657
"DON YEYO ÐOQUI X 500 G",332.77,32,102.43,657
"BLANCO/NEGRO ALFAJOR 73,5G",128,32,36.48,657
"COFLER LECHE X 55 G",218.6,32,76.53,657
"CREMA DE L.MANFREY PAST.350ML",301.19874,32,84.87874,657
"FIAMBRE SURTIDO ESPECIAL X K",894.35385,31.28,386.1762,682
"BABYSEC CLASICO M 10UN.",234.98102,31,61.09102,683
"SOPA KNORR CASERA C/FIDEOS 88.",131.75,31,44.02,683
"PRESTO PRONTA X 750 G",258.32598,31,74.49598,683
"PORTEÐITAS X 130 G",118.02,31,34.94,683
"PLUSBELLE JABON PURICA 140G",148.67927,31,52.20927,683
"MAMA COCINA PAN RALLADO X 500 G",122.49204,31,36.62204,683
"LA TUCUMANITA FIDEO CL X500GR.",273.3,31,82.7,683
"LA SERENIS GRIEGO ARANG 100G",143.57511,31,30.41511,683
"KNORR SOPA VERD Y CARNE + FIDEOS",131.75,31,45.22,683
"JUGO P.TANG POM.ROS.20G.",50.61,31,15.79,683
"ESTRELLA BABY TOAL HUM FRESIAS Y CAM 70",247.56,31,77.68,683
"ECOOO TRAPO DE PISO GRIS",151.85065,31,54.20065,683
"BRANCA FERNET X 450 CC",1083.68,31,312.09,683
"VUAL EXCEL 4X30",214.09369,31,68.53369,683
"CHOCO CHIPS X 135 G",118.9,31,36.44,683
"COFLER OBLEA  2",94.49426,31,33.42426,683
"DOBLE COLA X 2250 CC",264.66,31,72.16,683
"DANETTE FLAN X 2 X 95 G",217.67,31,51.82,683
"CLIGHT DUO MANGO-PERA X 6.5 G",55.49,31,17.67,683
"BUSCAPINA COMP X UNID",62,31,24.8,683
"VILLA DEL SUR LEVITE NARANJA X 1500 CC",234.68969,30.99996,68.10991,703
"LA SERENISIMA CHUBUT  X K",1932.62485,30.22998,625.63732,704
"ACE LIQUIDO X 400 ML",204.65,30,55.6,705
"YESI JARRITO PLASTICO",158.62,30,68.62,705
"VILLAVICENCIO AGUA MINERAL X 2000 CM3",171,30,48.9,705
"SUSSEX PREMIUM X 3",399.35,30,136.49,705
"SUSARELLI ROJO X 500 G",160.30893,30,54.10893,705
"SER YOGUR BEBIBLE FRUTILLA CALCIO X 190",198.94,30,45.04,705
"ROSAURA PAN RALLADO X 1 KG",324.48,30,34.08,705
"ROSAMONTE YERBA X 500 G",373.428,30,101.328,705
"M&K TOMATE TRITURADO 970 G",293.95577,30,96.25577,705
"LYSOFORM AIR ORIGINAL X 360 CM3",421.42,30,125.32,705
"LUCCETTI CALDOS GALLINA X 12 UNDS",206.51,30,54.49,705
"LA SERENISIMA LECHE EXTRA CALC",190.48,30,38.68,705
"LA SERENISIMA JUNIOR MANZ X 200CC",99.69322,30,19.01322,705
"GRANIX  BALONCITO X 150 G",187.26299,30,50.67299,705
"FIDEO RIVOLI TIRABUZON X 500G",110.7,30,33.9,705
"FARGO RODAJA FINA X 440 G",377.56,30,98.26,705
"CD $ 2.00",60,30,34.5,705
"CANALE DURAZNOS X 820 G",331.24,30,38.44,705
"BORITA CARICIAS X 900",211.8779,30,87.9779,705
"BIO L.CASEI MULTIFRU X 95G",97.5,30,22.5,705
"BIANCHI BORGO±A X 750 CC",494.7,30,126,705
"BAGGIO DE MANZANA 200ML",67.82,30,19.52,705
"ALICANTE CALDO PANCETA Y HIERBAS X 10 G",38.01,30,15.51,705
"VIDACOL VAINILLA X 4 X 80 G",407.84,29.99999,71.72001,728
"VITINA CLASICA X 250G",145.71002,29.00001,40.79,729
"ACTIMEL MULTIFRUTA 0 X 100 G",75.19279,29,18.93279,730
"JABON T.REXONA ACQUA FR.3X125",312.77447,29,106.66447,730
"HOGAREÐAS 7 SEMILLAS X 181 G",135.91,29,35.93,730
"GRANJA DEL SOL MILANESA DE SOJA  T.C  33",531.84,29,160.23,730
"GRANIX GALLETA CEREAL X 185 G",113.1,29,30.74,730
"GRANIX FRUTIGRAN SEMILLAS CHIA/LINO X 24",221.07106,29,59.25106,730
"GRACIELA REAL 0000 X 5KG",626.66704,29,128.31704,730
"FOSFOROS FAMILIAR X 220 UNID",69.6,29,28.13,730
"COFLER BLANCO Y LECHE X 60 G",200.07,29,65.77,730
"CITRIC NARANJA X 1L",306.21,29,84.78,730
"VIRULANA ESP CUADRADITOS",102.62522,29,46.07522,730
"VILLA DE LOS ARROYOS SODA X 1500 CC",114.67,29,29.65,730
"SUSSEX ULTRA X 140U",245.65,29,87.84,730
"SUAV.VIVERE DIA A DIA DP.900",263.33536,29,100.02536,730
"RECETA DE LA ABUELA MINI SCONES X 200 G",116.0739,29,33.4239,730
"PLUSBELLE JABON REFRESC140G",139.07972,29,48.31972,730
"OPERA OBLEAS X 92 G",140.78849,29,47.98849,730
"ODORONO REXONA X 60 G",288.40764,29,103.27764,730
"MANA RELLENAS CHOCO X 165 G",145.41,29,36.11,730
"MANA LIVIANAS COCO X 145 G",113.1,29,32.19,730
"MAGGI PURE DE PAPAS X 125 G",162.9,29,40.23,730
"LIFEBUOY JABON TOTAL X 125G",156.66,29,43.51,730
"LA TUCUMANITA ÑOQUIS 500G.",307.11,29,95.41,730
"KNORR SOPA CREMA DE VERDURA, X 62.5",126.2,29,39.49,730
"KNORR SOPA CREMA DE QUESO X 77.5 G",139.34,29,52.71,730
"SER DULCE DE LECHE X 400 G",330.08808,29,89.67808,730
"SER BARRA FRUTILLA X 23 G",113.1,29,39.73,730
"CEREAL MIX LIGHT FRUTILLA X 28 G",86.81252,29,26.78252,730
"ALICANTE PIMENTON X 50 G",118.99148,29,44.75148,730
"BC MAYONESA X 125 CC",64.65272,29,20.57272,730
"ALA MATIC MULT FRESH X 400 NUEVO",163.55406,29,52.19406,730
"FARGO TAPAS P/PASCUALINA LIGHT  X 390 G",273.57,28.99999,79.26999,761
"RIVOLI ÐOQUIS X 500G",106.54718,28.99999,32.30717,761
"DULCE DE L.G.DE ORO 250G.",130.84,28.99998,38.33,763
"RECETAS DE LA ABUELA BISCUIT X 140 G",168.56005,28.00001,47.88001,764
"CEPITA VASO",232.68,28,72.8,765
"COFLER CHOCOLATE  AIR.ALM.60G",191.74513,28,62.04513,765
"ZUKO CERO JUGO POLVO PERA 9G",21,28,9.24,765
"VIENISSIMA X 10 X 375 G",452.59062,28,126.95062,765
"QUILMES BOCA ANCHA X 500 CC",279.72,28,79.8,765
"PICADILLO CHANGUITO X 90 G",74.50784,28,23.54784,765
"PAPEL H.ARO BCO.30MT 6R",282.49301,28,103.29301,765
"LA VIRGINIA BOLDO X 25 SAQ",127.46909,28,41.78909,765
